,Climate,1st,2nd,3rd,Koppen Climate,Description
0,Af,A (Tropical),f (Rainforest),,Tropical rainforest climate,"This type of climate has every month of the year with an average temperature of 18 °C (64.4 °F) or higher, with significant precipitation. average precipitation of at least 60 mm (2.4 in) in every month."
1,Am,A (Tropical),m (Monsoon),,Tropical monsoon climate,"This type of climate has every month of the year with an average temperature of 18 °C (64.4 °F) or higher, with significant precipitation. driest month (which nearly always occurs at or soon after the 'winter' solstice for that side of the equator) with precipitation less than 60 mm (2.4 in) but at least 100-3Total Annual Precipitation (mm)/25)"
2,Aw,A (Tropical),"w (Savanna, dry winter)",,Tropical wet and dry or savanna climate,"This type of climate has every month of the year with an average temperature of 18 °C (64.4 °F) or higher, with significant precipitation. with the driest month having precipitation less than 60 mm (2.4 in) and less than 100-3Total Annual Precipitation (mm)/25)"
3,BWh,B (Dry),W (Arid Desert),h (Hot),Hot desert climate,"The precipitation threshold (in millimetres) involves first multiplying the average annual temperature in °C by 20, then adding 280 if 70% or more of the total precipitation is in the high-sun summer half of the year (April through September in the Northern Hemisphere, or October through March in the Southern), or 140 if 30-70% of the total precipitation is received during the applicable period, or 0 if less than 30% of the total precipitation is so received there. If the area's annual precipitation is less than half the threshold (50%), it is classified as a BW (desert climate), while 50-100% the threshold results in a semi-arid climate. above the following isotherm most commonly a mean annual temperature of 18 °C (64.4 °F), or sometimes the coldest month's mean temperature of 0 or -3 °C (32.0 or 26.5 °F)"
4,BWk,B (Dry),W (Arid Desert),k (Cold),Cold desert climate,"The precipitation threshold (in millimetres) involves first multiplying the average annual temperature in °C by 20, then adding 280 if 70% or more of the total precipitation is in the high-sun summer half of the year (April through September in the Northern Hemisphere, or October through March in the Southern), or 140 if 30-70% of the total precipitation is received during the applicable period, or 0 if less than 30% of the total precipitation is so received there. If the area's annual precipitation is less than half the threshold (50%), it is classified as a BW (desert climate), while 50-100% the threshold results in a semi-arid climate. below the following isotherm most commonly a mean annual temperature of 18 °C (64.4 °F), or sometimes the coldest month's mean temperature of 0 or -3 °C (32.0 or 26.5 °F)"
5,BSh,B (Dry),S (Semi-Arid or steppe) ,h (Hot),Hot semi-arid climate,"multiply by 20 the average annual temperature in degrees Celsius and then. add 280 if at least 70% of the total precipitation falls in the summer half of the year (April-September in the northern hemisphere, October-March in the southern hemisphere). add 140 if 30-70% of the total precipitation falls in the summer half of the year. add nothing if less than 30% of the total precipitation falls in the summer half of the year. If the area's annual precipitation in millimeters is less than the threshold but more than half or 50% the threshold, it is classified as a BS (steppe or semi-arid climate). above this isotherm either a mean annual temperature of 18 °C (64.4 °F), a mean temperature of 0 °C (32.0 °F) in the coldest month, or a mean temperature of -3 °C (26.5 °F) in the coldest month."
6,BSk,B (Dry),S (Semi-Arid or steppe) ,k (Cold),Cold semi-arid climate,"multiply by 20 the average annual temperature in degrees Celsius and then. add 280 if at least 70% of the total precipitation falls in the summer half of the year (April-September in the northern hemisphere, October-March in the southern hemisphere). add 140 if 30-70% of the total precipitation falls in the summer half of the year. add nothing if less than 30% of the total precipitation falls in the summer half of the year. If the area's annual precipitation in millimeters is less than the threshold but more than half or 50% the threshold, it is classified as a BS (steppe or semi-arid climate). below this isotherm either a mean annual temperature of 18 °C (64.4 °F), a mean temperature of 0 °C (32.0 °F) in the coldest month, or a mean temperature of -3 °C (26.5 °F) in the coldest month."
7,Cwa,C (Temperate),w (Dry winter),a (Hot summer),Monsoon-influenced humid subtropical climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months)."
8,Cwb,C (Temperate),w (Dry winter),b (Warm summer),Subtropical highland climate or Monsoon-influenced temperate oceanic climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (an alternative definition is 70% or more of average annual precipitation received in the warmest six months)."
9,Cwc,C (Temperate),w (Dry winter),c (Cold summer),Cold subtropical highland climate or Monsoon-influenced subpolar oceanic climate,coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months).
10,Cfa,C (Temperate),f (No dry season),a (Hot summer),Humid subtropical climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled). No dry months in the summer."
11,Cfb,C (Temperate),f (No dry season),b (Warm summer),Temperate oceanic climate or subtropical highland climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled)."
12,Cfc,C (Temperate),f (No dry season),c (Cold summer),Subpolar oceanic climate,coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled).
13,Csa,C (Temperate),s (Dry summer),a (Hot summer),Hot-summer Mediterranean climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 40 mm (1.6 in)."
14,Csb,C (Temperate),s (Dry summer),b (Warm summer),Warm-summer Mediterranean climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 40 mm (1.6 in)."
15,Csc,C (Temperate),s (Dry summer),c (Cold summer),Cold-summer Mediterranean climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 40 mm (1.6 in)."
16,Dwa,D (Continental),w (Dry winter),a (Hot summer),Monsoon-influenced hot-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months)."
17,Dwb,D (Continental),w (Dry winter),b (Warm summer),Monsoon-influenced warm-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months)."
18,Dwc,D (Continental),w (Dry winter),c (Cold summer),Monsoon-influenced subarctic climate,coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months).
19,Dwd,D (Continental),w (Dry winter),d (Very cold winter),Monsoon-influenced extremely cold subarctic climate,coldest month averaging below -38 °C (-36.4 °F) and 1-3 months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months).
20,Dfa,D (Continental),f (No dry season),a (Hot summer),Hot-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled)."
21,Dfb,D (Continental),f (No dry season),b (Warm summer),Warm-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled)."
22,Dfc,D (Continental),f (No dry season),c (Cold summer),Subarctic climate,coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled).
23,Dfd,D (Continental),f (No dry season),d (Very cold winter),Extremely cold subarctic climate,coldest month averaging below -38 °C (-36.4 °F) and 1-3 months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled).
24,Dsa,D (Continental),s (Dry summer) ,a (Hot summer),Mediterranean-influenced hot-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), average temperature of the warmest month above 22 °C (71.6 °F) and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
25,Dsb,D (Continental),s (Dry summer) ,b (Warm summer),Mediterranean-influenced warm-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), average temperature of the warmest month below 22 °C (71.6 °F) and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
26,Dsc,D (Continental),s (Dry summer) ,c (Cold summer),Mediterranean-influenced subarctic climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
27,Dsd,D (Continental),s (Dry summer) ,d (Very cold winter),Mediterranean-influenced extremely cold subarctic climate,"coldest month averaging below -38 °C (-36.4 °F) and 1-3 months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
28,ET,E (Polar),T (Tundra),,Tundra climate,average temperature of warmest month between 0 °C (32 °F) and 10 °C (50 °F).
29,EF,E (Polar),F (Ice cap),,Ice cap climate,"eternal winter, with all 12 months of the year with average temperatures below 0 °C (32 °F)."
