date, pm25
2023/1/7, 52
2023/1/8, 52
2023/1/9, 39
2023/1/10, 45
2023/1/11, 46
2023/1/12, 45
2023/1/13, 52
2023/1/14, 40
2023/1/15, 58
2023/1/16, 57
2023/1/17, 51
2023/1/18, 55
2023/1/19, 69
2023/1/20, 63
2023/1/21, 66
2023/1/22, 61
2023/1/23, 70
2023/1/24, 59
2023/1/25, 52
2023/1/26, 48
2023/1/27, 52
2023/1/28, 49
2023/1/29, 60
2023/2/2, 46
2023/2/3, 52
2023/2/4, 58
2023/2/5, 78
2023/2/7, 57
2023/2/8, 50
2023/2/9, 49
2023/2/10, 60
2023/2/11, 61
2023/2/12, 46
2023/2/13, 50
2023/2/14, 46
2023/2/16, 60
2023/2/17, 69
2023/2/18, 72
2023/2/19, 53
2023/2/22, 133
2023/2/23, 82
2023/2/24, 71
2023/2/25, 78
2022/8/2, 4
2022/4/2, 89
2022/4/3, 68
2022/4/4, 67
2022/4/5, 73
2022/4/6, 64
2022/4/7, 66
2022/4/8, 72
2022/4/9, 64
2022/4/10, 74
2022/4/11, 67
2022/4/12, 73
2022/4/13, 80
2022/4/14, 62
2022/4/15, 63
2022/4/16, 66
2022/4/17, 84
2022/4/18, 84
2022/4/19, 65
2022/4/20, 66
2022/4/21, 70
2022/4/22, 75
2022/4/23, 79
2022/4/24, 113
2022/4/25, 91
2022/4/26, 64
2022/4/27, 68
2022/4/28, 68
2022/4/29, 66
2022/4/30, 55
2022/5/1, 69
2022/5/2, 89
2022/5/3, 65
2022/5/4, 60
2022/5/5, 65
2022/5/6, 63
2022/5/7, 68
2022/5/8, 75
2022/5/9, 77
2022/5/10, 81
2022/5/11, 81
2022/5/12, 84
2022/5/13, 78
2022/5/14, 96
2022/5/15, 102
2022/5/16, 94
2022/5/17, 96
2022/5/18, 103
2022/1/5, 58
2022/1/6, 55
2022/1/7, 68
2022/1/8, 70
2022/1/9, 43
2022/1/10, 58
2022/1/11, 53
2022/1/12, 50
2022/1/13, 49
2022/1/14, 45
2022/1/15, 62
2022/1/16, 52
2022/1/18, 76
2022/1/19, 74
2022/1/20, 55
2022/1/21, 61
2022/1/22, 57
2022/1/23, 44
2022/1/24, 47
2022/1/25, 50
2022/1/26, 68
2022/1/27, 71
2022/1/28, 73
2022/1/29, 85
2022/1/30, 69
2022/1/31, 62
2022/2/1, 63
2022/2/2, 56
2022/2/3, 62
2022/2/4, 69
2022/2/5, 61
2022/2/6, 64
2022/2/7, 57
2022/2/8, 70
2022/2/9, 64
2022/2/10, 66
2022/2/11, 73
2022/2/12, 83
2022/2/13, 81
2022/2/14, 76
2022/2/15, 60
2022/2/16, 71
2022/2/17, 83
2022/2/18, 79
2022/2/19, 80
2022/2/20, 78
2022/2/21, 79
2022/2/22, 74
2022/2/23, 66
2022/2/24, 105
2022/2/25, 78
2022/2/26, 63
2022/2/27, 58
2022/2/28, 67
2022/3/1, 62
2022/3/2, 60
2022/3/3, 61
2022/3/4, 68
2022/3/5, 59
2022/3/6, 60
2022/3/7, 52
2022/3/8, 57
2022/3/9, 55
2022/3/10, 66
2022/3/11, 53
2022/3/12, 52
2022/3/13, 62
2022/3/14, 66
2022/3/15, 68
2022/3/16, 69
2022/3/17, 63
2022/3/18, 73
2022/3/19, 75
2022/3/20, 75
2022/3/21, 85
2022/3/22, 88
2022/3/23, 62
2022/3/25, 100
2022/3/26, 98
2022/3/27, 83
2022/3/28, 80
2022/3/29, 78
2022/3/30, 88
2022/3/31, 106
2022/4/1, 105
2021/10/2, 89
2021/10/3, 75
2021/10/4, 81
2021/10/5, 84
2021/10/6, 67
2021/10/7, 89
2021/10/8, 65
2021/10/14, 72
2021/10/15, 60
2021/10/16, 63
2021/10/17, 60
2021/10/18, 61
2021/10/19, 54
2021/10/20, 60
2021/10/21, 56
2021/10/22, 48
2021/10/23, 65
2021/10/24, 70
2021/10/25, 66
2021/10/26, 59
2021/10/27, 53
2021/10/28, 51
2021/10/29, 48
2021/10/30, 68
2021/10/31, 56
2021/11/1, 50
2021/11/2, 49
2021/11/3, 67
2021/11/4, 66
2021/11/5, 66
2021/11/6, 66
2021/11/7, 57
2021/11/8, 64
2021/11/9, 57
2021/11/10, 62
2021/11/11, 64
2021/11/12, 64
2021/11/13, 66
2021/11/14, 61
2021/11/15, 66
2021/11/16, 61
2021/11/17, 72
2021/11/18, 54
2021/11/19, 56
2021/11/20, 61
2021/11/21, 64
2021/11/22, 60
2021/11/23, 51
2021/11/24, 54
2021/11/25, 74
2021/11/26, 66
2021/11/27, 61
2021/11/28, 48
2021/11/29, 49
2021/11/30, 50
2021/12/1, 59
2021/12/2, 62
2021/12/3, 63
2021/12/4, 57
2021/12/5, 70
2021/12/6, 62
2021/12/7, 58
2021/12/8, 55
2021/12/9, 62
2021/12/10, 58
2021/12/11, 55
2021/12/12, 69
2021/12/13, 52
2021/12/14, 53
2021/12/15, 54
2021/12/16, 62
2021/12/17, 59
2021/12/18, 58
2021/12/19, 55
2021/12/20, 51
2021/12/21, 49
2021/12/22, 46
2021/12/23, 57
2021/12/24, 61
2021/12/25, 48
2021/12/26, 69
2021/12/27, 35
2021/12/28, 35
2021/12/29, 35
2021/12/30, 37
2021/12/31, 32
2021/7/2, 72
2021/7/3, 91
2021/7/4, 101
2021/7/5, 93
2021/7/6, 105
2021/7/7, 114
2021/7/8, 94
2021/7/9, 97
2021/7/10, 83
2021/7/11, 90
2021/7/12, 83
2021/7/13, 65
2021/7/14, 104
2021/7/15, 112
2021/7/16, 116
2021/7/17, 115
2021/7/18, 88
2021/7/19, 92
2021/7/20, 68
2021/7/22, 106
2021/7/23, 82
2021/7/24, 63
2021/7/25, 85
2021/7/26, 70
2021/7/27, 75
2021/7/28, 83
2021/7/29, 103
2021/7/30, 88
2021/7/31, 87
2021/8/1, 93
2021/8/2, 64
2021/8/3, 107
2021/8/4, 81
2021/8/5, 89
2021/8/6, 87
2021/8/7, 113
2021/8/8, 87
2021/8/9, 93
2021/8/10, 84
2021/8/11, 87
2021/8/12, 93
2021/8/13, 94
2021/8/14, 82
2021/8/15, 85
2021/8/16, 91
2021/8/17, 82
2021/8/18, 95
2021/8/19, 120
2021/8/20, 103
2021/8/21, 93
2021/8/22, 89
2021/8/23, 100
2021/8/24, 71
2021/8/25, 75
2021/8/26, 65
2021/8/27, 78
2021/8/28, 62
2021/8/29, 82
2021/8/30, 95
2021/8/31, 101
2021/9/1, 97
2021/9/2, 96
2021/9/3, 89
2021/9/4, 85
2021/9/5, 94
2021/9/6, 91
2021/9/7, 93
2021/9/8, 94
2021/9/9, 73
2021/9/10, 76
2021/9/11, 113
2021/9/12, 109
2021/9/13, 71
2021/9/14, 78
2021/9/15, 93
2021/9/16, 100
2021/9/17, 94
2021/9/18, 85
2021/9/19, 80
2021/9/20, 76
2021/9/21, 81
2021/9/22, 80
2021/9/23, 91
2021/9/24, 76
2021/9/25, 66
2021/9/26, 74
2021/9/27, 137
2021/9/28, 89
2021/9/29, 74
2021/9/30, 92
2021/10/1, 91
2021/4/2, 71
2021/4/3, 72
2021/4/4, 73
2021/4/5, 81
2021/4/6, 73
2021/4/7, 67
2021/4/8, 79
2021/4/9, 74
2021/4/10, 62
2021/4/11, 74
2021/4/12, 60
2021/4/13, 67
2021/4/14, 54
2021/4/15, 63
2021/4/16, 64
2021/4/17, 73
2021/4/18, 62
2021/4/19, 87
2021/4/20, 66
2021/4/21, 59
2021/4/22, 73
2021/4/23, 75
2021/4/24, 54
2021/4/25, 59
2021/4/26, 78
2021/4/27, 63
2021/4/28, 74
2021/4/29, 78
2021/4/30, 90
2021/5/1, 75
2021/5/2, 53
2021/5/4, 51
2021/5/5, 65
2021/5/6, 59
2021/5/7, 60
2021/5/8, 42
2021/5/9, 73
2021/5/10, 64
2021/5/11, 63
2021/5/12, 70
2021/5/13, 74
2021/5/14, 73
2021/5/15, 79
2021/5/16, 85
2021/5/17, 86
2021/5/18, 84
2021/5/19, 66
2021/5/20, 75
2021/5/21, 88
2021/5/22, 76
2021/5/23, 82
2021/5/24, 76
2021/5/25, 84
2021/5/26, 76
2021/5/27, 70
2021/5/28, 75
2021/5/29, 80
2021/5/30, 48
2021/5/31, 53
2021/6/1, 55
2021/6/2, 84
2021/6/3, 90
2021/6/4, 89
2021/6/5, 70
2021/6/6, 59
2021/6/7, 58
2021/6/8, 52
2021/6/9, 66
2021/6/10, 73
2021/6/13, 101
2021/6/14, 109
2021/6/15, 109
2021/6/16, 106
2021/6/17, 107
2021/6/18, 134
2021/6/19, 142
2021/6/20, 125
2021/6/21, 96
2021/6/22, 90
2021/6/23, 112
2021/6/24, 102
2021/6/25, 90
2021/6/26, 100
2021/6/27, 113
2021/6/28, 94
2021/6/29, 83
2021/6/30, 95
2021/7/1, 73
2021/1/5, 50
2021/1/6, 55
2021/1/7, 73
2021/1/8, 83
2021/1/9, 67
2021/1/10, 92
2021/1/11, 92
2021/1/12, 93
2021/1/13, 84
2021/1/14, 78
2021/1/15, 84
2021/1/16, 77
2021/1/17, 73
2021/1/18, 89
2021/1/19, 66
2021/1/20, 65
2021/1/21, 60
2021/1/22, 62
2021/1/23, 57
2021/1/24, 46
2021/1/25, 58
2021/1/26, 70
2021/1/27, 74
2021/1/28, 56
2021/1/29, 58
2021/1/30, 64
2021/1/31, 50
2021/2/2, 48
2021/2/3, 64
2021/2/4, 57
2021/2/5, 67
2021/2/6, 82
2021/2/7, 93
2021/2/8, 87
2021/2/9, 57
2021/2/10, 55
2021/2/11, 91
2021/2/12, 108
2021/2/13, 106
2021/2/14, 96
2021/2/15, 73
2021/2/16, 70
2021/2/27, 46
2021/2/28, 67
2021/3/1, 68
2021/3/2, 58
2021/3/3, 51
2021/3/4, 62
2021/3/5, 59
2021/3/6, 61
2021/3/7, 64
2021/3/8, 71
2021/3/9, 69
2021/3/10, 68
2021/3/11, 58
2021/3/12, 53
2021/3/13, 55
2021/3/14, 63
2021/3/15, 54
2021/3/16, 52
2021/3/17, 53
2021/3/18, 51
2021/3/19, 55
2021/3/20, 58
2021/3/21, 48
2021/3/22, 43
2021/3/23, 57
2021/3/24, 56
2021/3/25, 57
2021/3/26, 65
2021/3/27, 59
2021/3/28, 66
2021/3/29, 66
2021/3/30, 68
2021/3/31, 62
2021/4/1, 77
2020/10/2, 89
2020/10/3, 61
2020/10/4, 75
2020/10/5, 68
2020/10/6, 59
2020/10/7, 71
2020/10/8, 53
2020/10/9, 54
2020/10/10, 63
2020/10/11, 73
2020/10/12, 75
2020/10/13, 75
2020/10/14, 66
2020/10/15, 74
2020/10/16, 66
2020/10/17, 67
2020/10/18, 76
2020/10/19, 77
2020/10/20, 67
2020/10/21, 73
2020/10/22, 72
2020/10/23, 79
2020/10/24, 71
2020/10/25, 76
2020/10/26, 60
2020/10/27, 58
2020/10/28, 57
2020/10/29, 51
2020/10/30, 55
2020/10/31, 59
2020/11/1, 58
2020/11/2, 49
2020/11/3, 59
2020/11/4, 52
2020/11/5, 57
2020/11/6, 54
2020/11/7, 61
2020/11/8, 52
2020/11/9, 60
2020/11/10, 51
2020/11/13, 54
2020/11/14, 47
2020/11/15, 61
2020/11/16, 50
2020/11/19, 60
2020/11/20, 76
2020/11/21, 82
2020/11/22, 71
2020/11/23, 69
2020/11/24, 59
2020/11/25, 59
2020/11/26, 74
2020/11/27, 64
2020/11/28, 51
2020/11/29, 50
2020/11/30, 53
2020/12/1, 56
2020/12/2, 52
2020/12/3, 67
2020/12/4, 61
2020/12/5, 49
2020/12/6, 63
2020/12/7, 53
2020/12/8, 60
2020/12/9, 50
2020/12/10, 49
2020/12/11, 57
2020/12/12, 75
2020/12/13, 75
2020/12/14, 61
2020/12/15, 64
2020/12/16, 51
2020/12/17, 56
2020/12/18, 53
2020/12/19, 69
2020/12/20, 63
2020/12/21, 44
2020/12/22, 56
2020/12/23, 54
2020/12/24, 69
2020/12/25, 61
2020/12/26, 71
2020/12/27, 73
2020/12/28, 89
2020/12/29, 50
2020/12/30, 51
2020/12/31, 63
2021/1/1, 64
2021/1/2, 54
2021/1/3, 55
2021/1/4, 68
2020/7/2, 80
2020/7/3, 76
2020/7/4, 75
2020/7/5, 74
2020/7/6, 75
2020/7/7, 96
2020/7/8, 96
2020/7/9, 76
2020/7/10, 90
2020/7/11, 102
2020/7/12, 102
2020/7/13, 97
2020/7/14, 81
2020/7/15, 80
2020/7/16, 102
2020/7/17, 104
2020/7/18, 90
2020/7/19, 109
2020/7/20, 81
2020/7/21, 83
2020/7/22, 79
2020/7/23, 85
2020/7/24, 65
2020/7/25, 90
2020/7/26, 115
2020/7/27, 74
2020/7/28, 76
2020/7/29, 89
2020/7/30, 84
2020/7/31, 88
2020/8/1, 59
2020/8/2, 78
2020/8/3, 76
2020/8/4, 58
2020/8/5, 69
2020/8/6, 73
2020/8/7, 66
2020/8/8, 53
2020/8/9, 78
2020/8/10, 73
2020/8/11, 46
2020/8/12, 68
2020/8/13, 80
2020/8/14, 95
2020/8/15, 93
2020/8/16, 101
2020/8/17, 87
2020/8/18, 82
2020/8/19, 101
2020/8/20, 88
2020/8/21, 99
2020/8/22, 79
2020/8/23, 63
2020/8/24, 58
2020/8/26, 79
2020/8/27, 80
2020/8/28, 73
2020/8/29, 88
2020/8/30, 57
2020/8/31, 78
2020/9/1, 77
2020/9/2, 88
2020/9/3, 84
2020/9/4, 78
2020/9/5, 87
2020/9/6, 91
2020/9/7, 85
2020/9/8, 107
2020/9/9, 93
2020/9/10, 79
2020/9/11, 90
2020/9/12, 104
2020/9/13, 72
2020/9/14, 73
2020/9/15, 79
2020/9/16, 89
2020/9/17, 77
2020/9/18, 71
2020/9/19, 84
2020/9/20, 98
2020/9/21, 84
2020/9/22, 86
2020/9/23, 93
2020/9/24, 103
2020/9/25, 93
2020/9/26, 107
2020/9/27, 137
2020/9/28, 136
2020/9/30, 72
2020/10/1, 101
2020/4/2, 60
2020/4/3, 61
2020/4/4, 60
2020/4/5, 60
2020/4/6, 45
2020/4/7, 44
2020/4/8, 49
2020/4/9, 55
2020/4/10, 54
2020/4/11, 70
2020/4/12, 52
2020/4/13, 48
2020/4/14, 61
2020/4/15, 46
2020/4/16, 48
2020/4/17, 61
2020/4/18, 43
2020/4/19, 91
2020/4/20, 96
2020/4/21, 77
2020/4/22, 85
2020/4/23, 79
2020/4/24, 70
2020/4/25, 91
2020/4/26, 62
2020/4/27, 57
2020/4/28, 47
2020/4/29, 73
2020/4/30, 94
2020/5/1, 93
2020/5/2, 62
2020/5/3, 98
2020/5/4, 69
2020/5/5, 56
2020/5/6, 53
2020/5/7, 55
2020/5/8, 43
2020/5/9, 43
2020/5/10, 41
2020/5/11, 59
2020/5/12, 36
2020/5/13, 53
2020/5/14, 56
2020/5/15, 78
2020/5/16, 94
2020/5/17, 90
2020/5/18, 81
2020/5/19, 79
2020/5/20, 83
2020/5/21, 84
2020/5/22, 71
2020/5/23, 70
2020/5/24, 79
2020/5/25, 83
2020/5/26, 88
2020/5/27, 87
2020/5/28, 85
2020/5/29, 92
2020/5/30, 94
2020/5/31, 105
2020/6/1, 104
2020/6/2, 99
2020/6/3, 96
2020/6/4, 97
2020/6/5, 98
2020/6/6, 70
2020/6/12, 147
2020/6/13, 115
2020/6/14, 114
2020/6/15, 122
2020/6/16, 103
2020/6/17, 91
2020/6/18, 109
2020/6/19, 127
2020/6/20, 105
2020/6/21, 95
2020/6/22, 102
2020/6/23, 110
2020/6/24, 95
2020/6/25, 98
2020/6/26, 107
2020/6/27, 94
2020/6/28, 108
2020/6/29, 97
2020/6/30, 91
2020/7/1, 90
2020/1/3, 36
2020/1/4, 55
2020/1/5, 57
2020/1/6, 58
2020/1/7, 67
2020/1/8, 80
2020/1/9, 45
2020/1/10, 63
2020/1/11, 75
2020/1/12, 74
2020/1/13, 77
2020/1/14, 73
2020/1/15, 65
2020/1/16, 66
2020/1/17, 67
2020/1/18, 74
2020/1/19, 83
2020/1/20, 85
2020/1/21, 80
2020/1/22, 77
2020/1/23, 72
2020/1/24, 69
2020/1/25, 65
2020/1/26, 74
2020/1/27, 83
2020/1/28, 63
2020/1/29, 57
2020/1/30, 88
2020/1/31, 88
2020/2/1, 105
2020/2/2, 103
2020/2/3, 77
2020/2/4, 70
2020/2/5, 73
2020/2/6, 63
2020/2/7, 57
2020/2/8, 64
2020/2/9, 59
2020/2/10, 58
2020/2/11, 73
2020/2/12, 82
2020/2/13, 69
2020/2/14, 47
2020/2/15, 68
2020/2/16, 66
2020/2/17, 69
2020/2/18, 61
2020/2/19, 56
2020/2/20, 62
2020/2/21, 75
2020/2/22, 76
2020/2/23, 62
2020/2/24, 64
2020/2/25, 43
2020/2/26, 75
2020/2/27, 80
2020/2/28, 76
2020/2/29, 68
2020/3/1, 85
2020/3/2, 101
2020/3/3, 132
2020/3/4, 100
2020/3/5, 103
2020/3/6, 85
2020/3/7, 87
2020/3/8, 88
2020/3/9, 78
2020/3/10, 79
2020/3/11, 76
2020/3/12, 75
2020/3/13, 74
2020/3/14, 95
2020/3/15, 85
2020/3/16, 87
2020/3/17, 84
2020/3/18, 65
2020/3/19, 56
2020/3/21, 58
2020/3/22, 48
2020/3/23, 77
2020/3/24, 63
2020/3/25, 64
2020/3/26, 86
2020/3/27, 79
2020/3/28, 72
2020/3/29, 62
2020/3/30, 58
2020/3/31, 62
2020/4/1, 60
2019/10/2, 86
2019/10/3, 28
2019/10/4, 22
2019/10/5, 28
2019/10/6, 42
2019/10/7, 48
2019/10/8, 53
2019/10/9, 59
2019/10/10, 64
2019/10/11, 44
2019/10/12, 71
2019/10/13, 41
2019/10/14, 45
2019/10/15, 47
2019/10/16, 51
2019/10/17, 52
2019/10/18, 49
2019/10/19, 35
2019/10/20, 32
2019/10/21, 47
2019/10/22, 66
2019/10/23, 63
2019/10/24, 73
2019/10/25, 51
2019/10/26, 59
2019/10/27, 69
2019/10/28, 56
2019/10/29, 59
2019/10/30, 61
2019/10/31, 59
2019/11/1, 52
2019/11/2, 64
2019/11/3, 60
2019/11/4, 54
2019/11/5, 52
2019/11/6, 59
2019/11/7, 64
2019/11/8, 61
2019/11/9, 72
2019/11/10, 52
2019/11/11, 56
2019/11/12, 55
2019/11/13, 60
2019/11/14, 54
2019/11/15, 54
2019/11/16, 65
2019/11/17, 61
2019/11/18, 49
2019/11/19, 59
2019/11/20, 58
2019/11/21, 68
2019/11/22, 59
2019/11/23, 60
2019/11/24, 27
2019/11/25, 61
2019/11/26, 54
2019/11/27, 52
2019/11/28, 52
2019/11/29, 50
2019/11/30, 55
2019/12/1, 61
2019/12/2, 65
2019/12/3, 72
2019/12/4, 58
2019/12/5, 63
2019/12/6, 69
2019/12/7, 79
2019/12/8, 83
2019/12/9, 61
2019/12/10, 45
2019/12/11, 41
2019/12/12, 51
2019/12/13, 47
2019/12/14, 47
2019/8/10, 72
2019/8/11, 58
2019/8/12, 55
2019/8/13, 54
2019/8/14, 71
2019/8/15, 51
2019/8/16, 64
2019/8/17, 84
2019/8/18, 76
