date, pm25, no2, so2
2023/4/2, 27, 8, 12
2023/4/3, 26, 9, 6
2023/4/4, 35, 6, 
2023/4/5, 32, 9, 7
2023/4/6, 44, 7, 
2023/4/7, 26, 9, 2
2023/4/8, 28, 5, 
2023/4/9, 23, 7, 16
2023/4/10, 32, 16, 13
2023/4/11, 63, 23, 7
2023/4/12, 69, , 
2023/1/3, 69, 18, 1
2023/1/4, 51, 15, 1
2023/1/5, 43, 9, 3
2023/1/6, 37, 13, 1
2023/1/7, 46, 10, 1
2023/1/8, 32, 8, 1
2023/1/9, 47, 15, 1
2023/1/10, 60, 23, 1
2023/1/11, 73, 23, 1
2023/1/12, 74, 12, 1
2023/1/13, 68, 5, 1
2023/1/14, 19, 11, 1
2023/1/15, 28, 18, 5
2023/1/16, 52, 11, 1
2023/1/17, 54, 10, 1
2023/1/18, 49, 13, 1
2023/1/19, 35, 13, 1
2023/1/20, 33, 9, 1
2023/1/21, 19, 8, 1
2023/1/22, 29, 14, 1
2023/1/23, 51, 13, 1
2023/1/24, 47, 11, 1
2023/1/25, 57, 25, 1
2023/1/26, 49, 13, 1
2023/1/27, 41, 8, 6
2023/1/28, 49, 11, 1
2023/1/29, 49, 13, 1
2023/1/30, 48, 13, 1
2023/1/31, 36, 15, 1
2023/2/1, 45, 18, 1
2023/2/2, 63, 10, 1
2023/2/3, 52, 8, 1
2023/2/4, 24, 7, 3
2023/2/5, 36, 8, 1
2023/2/6, 37, 5, 1
2023/2/7, 39, 6, 6
2023/2/8, 58, 15, 8
2023/2/9, 67, 21, 1
2023/2/10, 47, 7, 1
2023/2/11, 22, 13, 11
2023/2/12, 29, 13, 15
2023/2/13, 47, 13, 1
2023/2/14, 49, 14, 9
2023/2/15, 58, 7, 11
2023/2/16, 37, 9, 1
2023/2/17, 29, 9, 1
2023/2/18, 17, 8, 1
2023/2/19, 38, 6, 7
2023/2/20, 29, 10, 2
2023/2/21, 45, 10, 1
2023/2/22, 51, 7, 1
2023/2/23, 31, 8, 1
2023/2/24, 40, 5, 1
2023/2/25, 18, 6, 1
2023/2/26, 37, 10, 1
2023/2/27, 44, 16, 1
2023/2/28, 38, 12, 1
2023/3/1, 38, 14, 1
2023/3/2, 54, 18, 1
2023/3/3, 72, 7, 1
2023/3/4, 41, 8, 1
2023/3/5, 38, 9, 1
2023/3/6, 57, 9, 1
2023/3/7, 56, 9, 1
2023/3/8, 17, 13, 1
2023/3/9, 20, 13, 2
2023/3/10, 24, 9, 1
2023/3/11, 36, 6, 1
2023/3/12, 15, 6, 1
2023/3/13, 32, 13, 1
2023/3/14, 40, 9, 1
2023/3/15, 25, 18, 11
2023/3/16, 40, 12, 14
2023/3/17, 51, 7, 1
2023/3/18, 39, 5, 1
2023/3/19, 24, 8, 1
2023/3/20, 25, 7, 1
2023/3/21, 50, 8, 8
2023/3/22, 57, 10, 2
2023/3/23, 69, 10, 1
2023/3/24, 68, 9, 3
2023/3/25, 30, 4, 1
2023/3/26, 23, 7, 1
2023/3/27, 36, 10, 1
2023/3/28, 44, 19, 14
2023/3/29, 49, 12, 1
2023/3/30, 50, 11, 6
2023/3/31, 34, 9, 2
2023/4/1, 56, 5, 
2022/10/2, 27, 1, 2
2022/10/3, 19, 11, 2
2022/10/4, 32, 16, 1
2022/10/5, 54, 21, 3
2022/10/6, 65, 16, 2
2022/10/7, 52, 6, 
2022/10/8, 20, 7, 2
2022/10/9, 24, 7, 1
2022/10/10, 40, 11, 7
2022/10/11, 41, 10, 12
2022/10/12, 53, 9, 27
2022/10/13, 52, 6, 1
2022/10/14, 35, 6, 4
2022/10/15, 45, 5, 4
2022/10/16, 28, 5, 2
2022/10/17, 28, 7, 1
2022/10/18, 20, , 
2022/10/20, 15, 11, 1
2022/10/21, 35, 12, 23
2022/10/22, 54, 9, 31
2022/10/23, 56, 5, 14
2022/10/24, 55, 9, 14
2022/10/25, 60, 10, 10
2022/10/26, 65, 5, 1
2022/10/27, 36, 11, 1
2022/10/28, 26, 6, 1
2022/10/29, 24, 13, 3
2022/10/30, 51, 14, 1
2022/10/31, 69, 11, 1
2022/11/1, 53, 12, 1
2022/11/2, 65, 23, 12
2022/11/3, 108, 10, 10
2022/11/4, 93, 11, 29
2022/11/5, 61, 8, 33
2022/11/6, 43, 5, 11
2022/11/7, 21, 7, 1
2022/11/8, 30, 7, 1
2022/11/9, 21, 11, 12
2022/11/10, 32, 10, 20
2022/11/11, 71, 12, 9
2022/11/12, 57, 4, 1
2022/11/13, 29, 4, 
2022/11/14, 14, 10, 2
2022/11/15, 24, 10, 1
2022/11/16, 37, 12, 1
2022/11/17, 53, 7, 1
2022/11/18, 37, 8, 1
2022/11/19, 38, 4, 1
2022/11/20, 36, 10, 1
2022/11/21, 22, 15, 2
2022/11/22, 37, 23, 1
2022/11/23, 66, 24, 12
2022/11/24, 80, 22, 23
2022/11/25, 82, 7, 2
2022/11/26, 42, 13, 4
2022/11/27, 53, 12, 5
2022/11/28, 48, 9, 1
2022/11/29, 23, 5, 3
2022/11/30, 45, 10, 4
2022/12/1, 34, 9, 1
2022/12/2, 33, 11, 22
2022/12/3, 35, 6, 2
2022/12/4, 29, 11, 1
2022/12/5, 35, 15, 7
2022/12/6, 43, 20, 4
2022/12/7, 56, , 
2022/12/9, 52, 8, 1
2022/12/10, 38, 7, 1
2022/12/11, 38, 10, 1
2022/12/12, 59, 13, 1
2022/12/13, 49, 8, 1
2022/12/14, 50, 14, 1
2022/12/15, 49, 12, 1
2022/12/16, 29, 8, 1
2022/12/17, 39, 6, 1
2022/12/18, 38, 8, 1
2022/12/19, 45, 10, 1
2022/12/20, 45, 14, 3
2022/12/21, 69, 24, 2
2022/12/22, 76, 16, 1
2022/12/23, 56, 7, 
2022/12/24, 33, 5, 
2022/12/25, 31, 8, 
2022/12/26, 27, 10, 1
2022/12/27, 31, 12, 1
2022/12/28, 58, 11, 16
2022/12/29, 63, 16, 33
2022/12/30, 59, 15, 17
2022/12/31, 56, 12, 1
2023/1/1, 52, 9, 
2023/1/2, 62, 17, 6
2022/7/2, 68, , 2
2022/7/3, 57, , 5
2022/7/4, 37, , 6
2022/7/5, 61, , 6
2022/7/6, 48, , 1
2022/7/7, 44, , 7
2022/7/8, 46, , 10
2022/7/9, 57, , 1
2022/7/10, 25, , 9
2022/7/11, 39, , 1
2022/7/12, 62, , 1
2022/7/13, 43, , 1
2022/7/14, 56, , 3
2022/7/15, 52, , 9
2022/7/16, 56, , 2
2022/7/17, 46, , 
2022/7/18, 44, , 
2022/7/19, 52, , 
2022/7/20, 57, , 2
2022/7/21, 69, , 1
2022/7/22, 59, , 
2022/7/23, 43, , 4
2022/7/24, 43, , 2
2022/7/25, 45, , 
2022/7/26, 32, , 6
2022/7/27, 44, , 4
2022/7/28, 56, , 1
2022/7/29, 51, , 2
2022/7/30, 31, , 6
2022/7/31, 32, , 9
2022/8/1, 40, , 2
2022/8/2, 47, , 
2022/8/6, 44, , 3
2022/8/7, 42, , 1
2022/8/8, 45, , 
2022/8/10, 30, , 3
2022/8/11, 52, , 
2022/8/12, 35, , 1
2022/8/13, 40, , 
2022/8/16, 49, 3, 1
2022/8/17, 47, 12, 
2022/8/18, 58, , 
2022/8/20, 64, 6, 5
2022/8/21, 54, 9, 4
2022/8/22, 46, 11, 
2022/8/23, 47, , 
2022/8/26, 64, 7, 1
2022/8/27, 49, 4, 1
2022/8/28, 42, 5, 14
2022/8/29, 52, 7, 4
2022/8/30, 43, 7, 1
2022/8/31, 45, 7, 2
2022/9/1, 51, 7, 11
2022/9/2, 45, 5, 5
2022/9/7, 22, 9, 1
2022/9/8, 29, 11, 4
2022/9/9, 37, 11, 7
2022/9/10, 45, 8, 8
2022/9/11, 35, 2, 3
2022/9/12, 25, 5, 
2022/9/13, 25, 7, 1
2022/9/14, 27, 8, 
2022/9/15, 43, 3, 2
2022/9/16, 29, 10, 7
2022/9/17, 59, 7, 15
2022/9/18, 56, 6, 2
2022/9/19, 59, 8, 1
2022/9/20, 45, 12, 2
2022/9/21, 55, 6, 1
2022/9/22, 37, 3, 
2022/9/23, 18, 6, 5
2022/9/24, 19, 6, 2
2022/9/25, 26, 7, 1
2022/9/26, 33, 5, 1
2022/9/27, 16, 2, 4
2022/9/28, 12, 3, 
2022/9/29, 14, 8, 
2022/9/30, 23, 11, 1
2022/10/1, 40, 6, 2
2022/4/2, 21, , 3
2022/4/3, 52, , 1
2022/4/4, 63, , 
2022/4/6, 97, , 2
2022/4/7, 67, , 3
2022/4/8, 38, , 2
2022/4/9, 31, , 1
2022/4/10, 22, , 5
2022/4/11, 24, , 7
2022/4/12, 43, , 1
2022/4/13, 57, , 10
2022/4/14, 59, , 2
2022/4/15, 38, , 1
2022/4/16, 36, , 1
2022/4/17, 31, , 1
2022/4/18, 20, , 1
2022/4/19, 36, , 1
2022/4/20, 31, , 5
2022/4/21, 41, , 3
2022/4/22, 34, , 1
2022/4/23, 36, , 4
2022/4/26, 25, , 1
2022/4/27, 28, , 1
2022/4/28, 25, , 3
2022/4/29, 42, , 1
2022/4/30, 40, , 1
2022/5/1, 42, , 3
2022/5/2, 48, , 1
2022/5/3, 43, , 1
2022/5/4, 60, , 
2022/5/5, 37, , 1
2022/5/6, 40, , 1
2022/5/7, 38, , 1
2022/5/8, 39, , 2
2022/5/9, 38, , 
2022/5/13, 57, , 12
2022/5/14, 37, , 11
2022/5/15, 42, , 12
2022/5/16, 57, , 4
2022/5/17, 39, , 
2022/5/18, 30, , 
2022/5/19, 40, , 15
2022/5/20, 67, , 10
2022/5/21, 68, , 2
2022/5/22, 55, , 2
2022/5/23, 37, , 4
2022/5/24, 24, , 7
2022/5/25, 43, , 3
2022/5/26, 40, , 9
2022/5/27, 42, , 7
2022/5/28, 40, , 4
2022/5/29, 31, , 9
2022/5/30, 53, , 20
2022/5/31, 59, , 7
2022/6/1, 67, , 1
2022/6/2, 53, , 2
2022/6/3, 27, , 1
2022/6/4, 43, , 9
2022/6/5, 28, , 8
2022/6/6, 33, , 13
2022/6/7, 60, , 
2022/6/8, 40, , 
2022/6/9, 43, , 
2022/6/10, 45, , 3
2022/6/11, 62, , 7
2022/6/12, 58, , 1
2022/6/13, 53, , 1
2022/6/14, 43, , 1
2022/6/15, 41, , 1
2022/6/16, 75, , 1
2022/6/17, 75, , 4
2022/6/18, 41, , 
2022/6/19, 28, , 4
2022/6/20, 50, , 6
2022/6/21, 50, , 3
2022/6/22, 65, , 
2022/6/23, 52, , 8
2022/6/24, 29, , 11
2022/6/25, 51, , 10
2022/6/26, 50, , 3
2022/6/27, 54, , 
2022/6/28, 28, , 9
2022/6/29, 55, , 2
2022/6/30, 52, , 6
2022/7/1, 70, , 1
2022/1/31, 90, , 3
2022/2/1, 120, , 24
2022/2/2, 98, , 1
2022/2/3, 78, , 
2022/2/4, 18, , 1
2022/2/5, 32, , 3
2022/2/6, 79, , 21
2022/2/7, 128, , 
2022/2/10, 70, , 1
2022/2/11, 51, , 6
2022/2/12, 51, , 1
2022/2/13, 27, , 1
2022/2/14, 36, , 3
2022/2/15, 52, , 2
2022/2/16, 87, , 23
2022/2/17, 95, , 4
2022/2/18, 49, , 1
2022/2/19, 33, , 1
2022/2/20, 32, , 3
2022/2/21, 43, , 2
2022/2/22, 66, , 2
2022/2/23, 61, , 1
2022/2/24, 32, , 1
2022/2/25, 37, , 1
2022/2/26, 37, , 1
2022/2/27, 54, , 1
2022/2/28, 63, , 1
2022/3/1, 24, , 2
2022/3/2, 77, , 3
2022/3/3, 74, , 1
2022/3/4, 29, , 4
2022/3/5, 53, , 2
2022/3/6, 59, , 5
2022/3/7, 60, , 
2022/3/9, 41, , 1
2022/3/10, 76, , 3
2022/3/11, 73, , 1
2022/3/12, 61, , 1
2022/3/13, 29, , 1
2022/3/14, 43, , 15
2022/3/15, 73, , 2
2022/3/16, 125, , 10
2022/3/17, 111, , 17
2022/3/18, 113, , 3
2022/3/19, 78, , 1
2022/3/20, 58, , 1
2022/3/21, 26, , 3
2022/3/22, 65, , 1
2022/3/23, 34, , 1
2022/3/24, 34, , 2
2022/3/25, 33, , 1
2022/3/26, 31, , 1
2022/3/27, 17, , 1
2022/3/28, 16, , 1
2022/3/29, 29, , 5
2022/3/30, 36, , 1
2022/3/31, 49, , 5
2022/4/1, 30, , 1
2021/10/2, 55, , 8
2021/10/3, 43, , 
2021/10/4, 40, , 5
2021/10/5, 35, , 
2021/10/6, 44, , 
2021/10/7, 39, , 
2021/10/8, 44, , 
2021/10/9, 29, , 3
2021/10/10, 43, , 1
2021/10/11, 46, , 6
2021/10/12, 52, , 2
2021/10/13, 36, , 3
2021/10/14, 37, , 5
2021/10/15, 48, , 
2021/10/16, 24, , 2
2021/10/17, 24, , 2
2021/10/18, 25, , 2
2021/10/19, 37, , 2
2021/10/20, 65, , 8
2021/10/21, 67, , 1
2021/10/22, 56, , 
2021/10/23, 26, , 
2021/10/24, 50, , 
2021/10/25, 86, , 
2021/10/26, 30, , 
2021/10/27, 17, , 
2021/10/28, 46, , 
2021/10/29, 34, , 
2021/10/30, 21, , 1
2021/10/31, 40, , 1
2021/11/1, 39, , 2
2021/11/2, 30, , 1
2021/11/3, 33, , 1
2021/11/4, 34, , 1
2021/11/5, 59, , 3
2021/11/6, 90, , 9
2021/11/7, 87, , 11
2021/11/8, 99, , 5
2021/11/9, 92, , 1
2021/11/10, 75, , 1
2021/11/11, 63, , 1
2021/11/12, 56, , 13
2021/11/13, 42, , 1
2021/11/14, 31, , 1
2021/11/15, 51, , 1
2021/11/16, 25, , 6
2021/11/17, 68, , 7
2021/11/18, 68, , 1
2021/11/19, 39, , 3
2021/11/20, 29, , 3
2021/11/21, 57, , 1
2021/11/22, 84, , 1
2021/11/23, 25, , 
2021/11/24, 40, , 9
2021/11/25, 55, , 
2021/7/2, 34, 5, 
2021/7/3, 25, 8, 1
2021/7/4, 41, 7, 9
2021/7/5, 68, 6, 1
2021/7/6, 67, 8, 
2021/7/7, 64, , 
2021/7/8, 64, 6, 
2021/7/9, 45, 4, 
2021/7/10, 20, 4, 2
2021/7/11, 24, 2, 
2021/7/12, 26, 4, 
2021/7/13, 29, 8, 
2021/7/14, 33, 10, 1
2021/7/15, 39, 6, 
2021/7/16, 44, 5, 
2021/7/17, 23, 4, 1
2021/7/18, 45, 9, 
2021/7/19, 63, 10, 
2021/7/20, 87, 9, 1
2021/7/21, 85, 3, 
