date, pm25, pm10, no2, so2
2021/9/15, , 14, 5, 2
2021/9/16, , 19, 8, 1
2021/9/17, , 20, 6, 
2021/9/18, , 17, 1, 
2021/9/19, , 7, 1, 1
2021/9/20, , 11, 2, 1
2021/9/21, , 12, 10, 2
2021/9/22, , 19, 13, 3
2021/9/23, , 26, 7, 1
2021/9/24, , 23, 6, 3
2021/9/25, , 16, 4, 
2021/9/26, , 16, 4, 
2021/9/27, , 22, 5, 4
2021/9/28, , 15, 4, 4
2021/9/29, , 20, 3, 4
2021/9/30, , 26, 7, 2
2021/10/1, , 27, 7, 1
2021/4/2, , 34, 8, 1
2021/4/3, , 16, 3, 1
2021/4/4, , 13, 3, 1
2021/4/5, , 11, 2, 1
2021/4/6, , 15, 3, 
2021/4/7, , 13, 6, 1
2021/4/8, , 18, 6, 2
2021/4/9, , 16, 6, 1
2021/4/10, , 33, 8, 2
2021/4/11, , 19, 3, 1
2021/4/12, , 19, 10, 1
2021/4/13, , 23, 10, 4
2021/4/14, , 17, 8, 2
2021/4/15, , 21, 2, 
2021/4/16, , 13, 4, 
2021/4/17, , 15, 6, 
2021/4/18, , 21, 10, 1
2021/4/19, , 26, 10, 
2021/4/20, , 28, 17, 
2021/4/21, , 37, 15, 1
2021/4/22, , 41, 5, 
2021/4/23, , 24, 5, 
2021/4/24, , 24, 6, 1
2021/4/25, , 19, 9, 1
2021/4/26, , 17, 9, 
2021/4/27, , 15, 7, 
2021/4/28, , 16, 9, 
2021/4/29, , 24, 11, 
2021/4/30, , 32, 8, 
2021/5/1, , 18, 4, 
2021/5/2, , 12, 3, 
2021/5/3, , 10, 3, 1
2021/5/4, , 13, 5, 
2021/5/5, , 15, 4, 
2021/5/6, , 17, 4, 
2021/5/7, , 17, 9, 1
2021/5/8, , 24, 5, 1
2021/5/9, , 18, 3, 
2021/5/10, , 15, 7, 1
2021/5/11, , 23, 8, 3
2021/5/12, , 29, 3, 
2021/5/13, , 31, 8, 
2021/5/14, , 35, 5, 
2021/5/15, , 23, 5, 
2021/5/16, , 16, 4, 
2021/5/17, , 14, 7, 
2021/5/18, , 19, 11, 1
2021/5/19, , 17, 9, 10
2021/5/20, , 22, 7, 7
2021/5/21, , 18, 7, 
2021/5/22, , 17, 4, 
2021/5/23, , 14, 3, 
2021/5/24, , 10, 5, 
2021/5/25, , 14, 6, 
2021/5/26, , 16, 4, 
2021/5/27, , 22, 5, 
2021/5/28, , 11, 8, 
2021/5/29, , 16, 5, 
2021/5/30, , 10, 2, 
2021/5/31, , 12, 4, 
2021/6/1, , 12, 6, 
2021/6/2, , 20, 4, 
2021/6/3, , 18, 6, 
2021/6/4, , 21, 7, 
2021/6/5, , 23, 6, 
2021/6/6, , 18, 6, 
2021/6/7, , 21, 9, 
2021/6/8, , 33, 7, 
2021/6/9, , 30, 7, 
2021/6/10, , 25, 7, 
2021/6/11, , 33, 8, 
2021/6/12, , 30, 7, 
2021/6/13, , 20, 4, 
2021/6/14, , 18, 7, 
2021/6/15, , 15, 9, 
2021/6/16, , 18, 5, 
2021/6/17, , 13, 6, 
2021/6/18, , 22, 7, 
2021/6/19, , 27, 5, 
2021/6/20, , 21, 5, 
2021/6/21, , 20, 5, 
2021/6/22, , 29, 9, 
2021/6/23, , 29, 6, 
2021/6/24, , 12, 5, 
2021/6/25, , 12, 6, 
2021/6/26, , 13, 6, 
2021/6/27, , 17, 4, 
2021/6/28, , 18, 4, 
2021/6/29, , 14, 5, 
2021/6/30, , 21, 4, 
2021/7/1, , 24, 4, 
2021/1/5, , 6, 1, 
2021/1/6, , 6, 2, 
2021/1/7, , 11, 12, 3
2021/1/8, , 21, 8, 1
2021/1/9, , 24, 6, 9
2021/1/10, , 13, 7, 6
2021/1/11, , 15, 6, 
2021/1/12, , 9, 9, 2
2021/1/13, , 17, 13, 1
2021/1/14, , 16, 4, 
2021/1/15, , 13, 6, 
2021/1/16, , 9, 3, 3
2021/1/17, , 8, 11, 3
2021/1/18, , 39, 18, 3
2021/1/19, , 40, 16, 4
2021/1/20, , 56, 12, 2
2021/1/21, , 17, 11, 1
2021/1/22, , 13, 13, 1
2021/1/23, , 20, 10, 1
2021/1/24, , 13, 8, 7
2021/1/25, , 6, 14, 18
2021/1/26, , 10, 11, 29
2021/1/27, , 10, 13, 27
2021/1/28, , 16, 8, 3
2021/1/29, , 8, 12, 10
2021/1/30, , 21, 10, 17
2021/1/31, , 13, 4, 1
2021/2/1, , 9, 12, 2
2021/2/2, , 31, 11, 2
2021/2/3, , 31, 15, 2
2021/2/4, , 30, 4, 
2021/2/5, , 8, 17, 11
2021/2/6, , 18, 7, 1
2021/2/7, , 17, 4, 1
2021/2/8, , 16, , 
2021/2/9, , 9, 5, 
2021/2/10, , 13, 15, 2
2021/2/11, , 23, 11, 1
2021/2/12, , 16, 7, 
2021/2/13, , 7, 4, 4
2021/2/14, , 7, 6, 22
2021/2/15, , 14, 18, 14
2021/2/16, , 31, 11, 3
2021/2/17, , 37, 8, 3
2021/2/18, , 36, 10, 2
2021/2/19, , 27, 13, 4
2021/2/20, , 33, 11, 1
2021/2/21, , 24, 7, 2
2021/2/22, , 38, 19, 1
2021/2/23, , 47, 23, 2
2021/2/24, , 51, 18, 2
2021/2/25, , 38, 15, 1
2021/2/26, , 41, 8, 1
2021/2/27, , 13, 7, 3
2021/2/28, , 12, 6, 2
2021/3/1, , 10, 7, 
2021/3/2, , 12, 9, 2
2021/3/3, , 14, 11, 1
2021/3/4, , 23, 7, 1
2021/3/5, , 17, 8, 1
2021/3/6, , 15, 6, 
2021/3/7, , 14, 4, 
2021/3/8, , 8, 8, 2
2021/3/9, , 10, 15, 1
2021/3/10, , 22, 14, 1
2021/3/11, , 32, 7, 1
2021/3/12, , 25, 5, 
2021/3/13, , 12, 4, 
2021/3/14, , 10, 3, 
2021/3/15, , 7, 7, 
2021/3/16, , 14, 13, 
2021/3/17, , 23, 4, 
2021/3/18, , 11, 6, 
2021/3/19, , 10, 5, 
2021/3/20, , 10, 3, 1
2021/3/21, , 7, 5, 1
2021/3/22, , 11, 9, 6
2021/3/23, , 20, 13, 6
2021/3/24, , 20, 8, 1
2021/3/25, , 23, 10, 1
2021/3/26, , 30, 14, 1
2021/3/27, , 39, 6, 1
2021/3/28, , 28, 2, 
2021/3/29, , 9, 9, 1
2021/3/30, , 15, 6, 2
2021/3/31, , 10, 12, 2
2021/4/1, , 27, 18, 2
2020/10/2, , 52, 1, 
2020/10/3, , 39, 1, 
2020/10/4, , 22, 3, 1
2020/10/5, , 14, 6, 
2020/10/6, , 14, 6, 
2020/10/7, , 13, 9, 
2020/10/8, , 18, 8, 
2020/10/9, , 18, 9, 2
2020/10/10, , 18, 6, 
2020/10/11, , 14, 6, 
2020/10/12, , 17, 12, 
2020/10/13, , 24, 7, 
2020/10/14, , 24, , 
2020/10/15, , 10, 6, 
2020/10/16, , 14, 2, 
2020/10/17, , 9, 3, 2
2020/10/18, , 10, 4, 5
2020/10/19, , 10, 6, 
2020/10/20, , 14, 7, 
2020/10/21, , 18, 9, 
2020/10/22, , 27, 8, 
2020/10/23, , 22, 8, 
2020/10/24, , 19, 8, 
2020/10/25, , 24, 3, 
2020/10/26, , 20, 8, 
2020/10/27, , 36, 9, 
2020/10/28, , 23, 8, 
2020/10/29, , 15, 8, 
2020/10/30, , 16, 7, 
2020/10/31, , 21, 6, 
2020/11/1, , 22, 2, 
2020/11/2, , 15, 5, 
2020/11/3, , 18, 9, 2
2020/11/4, , 18, 9, 
2020/11/5, , 20, 4, 
2020/11/6, , 11, 7, 5
2020/11/7, , 9, 2, 
2020/11/8, , 6, 7, 1
2020/11/9, , 19, 9, 
2020/11/10, , 21, 3, 
2020/11/11, , 10, 3, 
2020/11/12, , 19, 7, 
2020/11/13, , 25, 7, 
2020/11/14, , 21, 6, 
2020/11/15, , 22, 5, 
2020/11/16, , 16, 7, 
2020/11/17, , 15, 9, 
2020/11/18, , 13, 6, 
2020/11/19, , 8, 6, 
2020/11/20, , 13, 7, 1
2020/11/21, , 11, 3, 
2020/11/22, , 11, 2, 
2020/11/23, , 6, 5, 
2020/11/24, , 10, 7, 
2020/11/25, , 12, 10, 
2020/11/26, , 24, 9, 
2020/11/27, , 23, 10, 24
2020/11/28, , 16, 2, 
2020/11/29, , 4, 4, 
2020/11/30, , 17, 8, 4
2020/12/1, , 11, 8, 
2020/12/2, , 27, 6, 
2020/12/3, , 23, 5, 1
2020/12/4, , 19, 5, 1
2020/12/5, , 15, 4, 1
2020/12/6, , 18, 2, 
2020/12/7, , 13, 3, 
2020/12/8, , 13, 3, 
2020/12/9, , 17, 3, 
2020/12/10, , 22, 3, 
2020/12/11, , 17, 5, 
2020/12/12, , 18, 3, 
2020/12/13, , 14, 3, 
2020/12/14, , 17, 7, 
2020/12/15, , 24, 8, 1
2020/12/16, , 23, 13, 6
2020/12/17, , 19, 8, 1
2020/12/18, , 18, 9, 
2020/12/19, , 20, 6, 
2020/12/20, , 16, 3, 
2020/12/21, , 17, 6, 
2020/12/22, , 19, 7, 
2020/12/23, , 15, 14, 3
2020/12/24, , 22, 5, 2
2020/12/25, , 9, 3, 12
2020/12/26, , 7, 5, 12
2020/12/27, , 8, 2, 
2020/12/28, , 8, 3, 2
2020/12/29, , 11, 6, 1
2020/12/30, , 12, 9, 
2020/12/31, , 24, 9, 
2021/1/1, , 28, 3, 
2021/1/2, , 14, 5, 
2021/1/3, , 21, 1, 
2021/1/4, , 10, 1, 
2020/7/2, , 18, 4, 
2020/7/3, , 18, 6, 
2020/7/4, , 17, 4, 
2020/7/5, , 20, 2, 
2020/7/6, , 15, 4, 
2020/7/7, , 17, 3, 1
2020/7/8, , 18, 5, 
2020/7/9, , 14, 6, 
2020/7/10, , 18, 4, 
2020/7/11, , 14, 3, 1
2020/7/12, , 10, 2, 1
2020/7/13, , 15, 5, 4
2020/7/14, , 13, 5, 
2020/7/15, , 27, 6, 
2020/7/16, , 28, 7, 1
2020/7/17, , 15, 5, 
2020/7/18, , 17, 6, 
2020/7/19, , 19, 5, 
2020/7/20, , 27, 10, 
2020/7/21, , 30, 4, 1
2020/7/22, , 16, 3, 2
2020/7/23, , 19, 4, 3
2020/7/24, , 19, 9, 
2020/7/25, , 28, 3, 
2020/7/26, , 16, 4, 
2020/7/27, , 21, 4, 
2020/7/28, , 18, 6, 
2020/7/29, , 24, 4, 1
2020/7/30, , 22, 3, 
2020/7/31, , 21, 5, 4
2020/8/1, , 22, 3, 3
2020/8/2, , 18, 4, 
2020/8/3, , 27, 6, 
2020/8/4, , 16, 7, 1
2020/8/5, , 17, 6, 1
2020/8/6, , 20, 7, 
2020/8/7, , 20, 9, 
2020/8/8, , 27, 8, 
2020/8/9, , 28, 7, 
2020/8/10, , 37, 5, 
2020/8/11, , 28, 2, 
2020/8/12, , 28, 3, 
2020/8/13, , 20, 7, 
2020/8/14, , 34, 7, 
2020/8/15, , 39, 6, 
2020/8/16, , 34, 5, 
2020/8/17, , 39, 9, 
2020/8/18, , 46, 4, 
2020/8/19, , 23, 4, 
2020/8/20, , 33, 7, 
2020/8/21, , 30, 9, 
2020/8/22, , 42, 6, 
2020/8/23, , 32, 5, 
2020/8/24, , 19, 8, 
2020/8/25, , 23, 6, 
2020/8/26, , 13, 8, 
2020/8/27, , 21, 5, 2
2020/8/28, , 15, 7, 1
2020/8/29, , 23, 5, 
2020/8/30, , 17, 5, 
2020/8/31, , 20, 5, 
2020/9/1, , 7, 3, 
2020/9/2, , 8, 2, 
2020/9/3, , 13, 7, 
2020/9/4, , 21, 9, 1
2020/9/5, , 19, 6, 
2020/9/6, , 17, 3, 
2020/9/7, , 17, 6, 
2020/9/8, , 15, 5, 
2020/9/9, , 22, 5, 
2020/9/10, , 16, 5, 1
2020/9/11, , 19, 10, 
2020/9/12, , 24, 6, 
2020/9/13, , 30, 3, 
2020/9/14, , 17, 8, 
2020/9/15, , 28, 13, 
2020/9/16, , 46, 11, 1
2020/9/17, , 40, 4, 2
2020/9/18, , 15, 9, 2
2020/9/19, , 20, 6, 
2020/9/20, , 15, 3, 
2020/9/21, , 13, 12, 
2020/9/22, , 33, 15, 
2020/9/23, , 46, 13, 
2020/9/24, , 48, 14, 
2020/9/25, , 43, 10, 
2020/9/26, , 36, 3, 
2020/9/27, , 18, 1, 
2020/9/28, , 27, 4, 
2020/9/29, , 12, 5, 
2020/9/30, , 22, 6, 
2020/10/1, , 26, 1, 
2020/4/2, , 10, 2, 
2020/4/3, , 9, 1, 
2020/4/4, , 23, 4, 4
2020/4/5, , 17, 6, 
2020/4/6, , 25, 11, 1
2020/4/7, , 43, 7, 5
2020/4/8, , 43, 11, 3
2020/4/9, , 36, 9, 8
2020/4/10, , 40, 7, 1
2020/4/11, , 30, 8, 
2020/4/12, , 33, 3, 1
2020/4/13, , 24, 3, 8
2020/4/14, , 20, 6, 6
2020/4/15, , 29, 4, 
2020/4/16, , 26, 4, 4
2020/4/17, , 30, 8, 3
2020/4/18, , 27, 7, 1
2020/4/19, , 28, 2, 
2020/4/20, , 21, 6, 
2020/4/21, , 23, 6, 
2020/4/22, , 17, 8, 
2020/4/23, , 25, 15, 7
2020/4/24, , 40, 8, 
2020/4/25, , 28, 2, 
2020/4/26, , 30, 3, 
2020/4/27, , 25, 9, 
2020/4/28, , 36, 10, 1
2020/4/29, , 38, 1, 
2020/4/30, , 5, 3, 
2020/5/1, , 15, 3, 
2020/5/2, , 14, 3, 
2020/5/3, , 13, 4, 2
2020/5/4, , 16, 7, 
2020/5/5, , 18, 8, 3
2020/5/6, , 12, 3, 2
2020/5/7, , 14, 8, 8
2020/5/8, , 23, 6, 
2020/5/9, , 21, 3, 1
2020/5/10, , 22, 4, 
2020/5/11, , 22, 4, 
2020/5/12, , 14, 4, 4
2020/5/13, , 15, 3, 
2020/5/14, , 15, 8, 
2020/5/15, , 19, 4, 
2020/5/16, , 26, 1, 
2020/5/17, , 15, 1, 
2020/5/18, , 11, 6, 4
2020/5/19, , 11, 6, 4
2020/5/20, , 9, 5, 10
2020/5/21, , 14, 7, 
2020/5/22, , 21, 7, 
2020/5/23, , 19, 7, 
2020/5/24, , 22, 6, 4
2020/5/25, , 15, 4, 1
2020/5/26, , 13, 3, 
2020/5/27, , 11, 9, 1
2020/5/28, , 19, 5, 1
2020/5/29, , 18, 1, 
2020/5/30, , 20, 1, 
2020/5/31, , 15, 2, 
2020/6/1, , 25, 4, 
2020/6/2, , 22, 3, 
2020/6/3, , 12, 5, 
2020/6/4, , 19, 4, 
2020/6/5, , 25, 7, 
2020/6/6, , 12, 3, 
2020/6/7, , 14, 4, 
2020/6/8, , 15, 5, 
2020/6/9, , 10, 5, 
2020/6/10, , 16, 3, 
2020/6/11, , 15, 3, 
2020/6/12, , 17, 5, 
2020/6/13, , 19, 4, 
2020/6/14, , 19, 2, 
2020/6/15, , 18, 5, 
2020/6/16, , 19, 6, 
2020/6/17, , 21, 7, 
2020/6/18, , 29, 4, 1
2020/6/19, , 18, 8, 
2020/6/20, , 20, 5, 
2020/6/21, , 16, 4, 
2020/6/22, , 18, 5, 
2020/6/23, , 18, 4, 
2020/6/24, , 16, 3, 
2020/6/25, , 20, 7, 
2020/6/26, , 24, 6, 
2020/6/27, , 28, 3, 
2020/6/28, , 23, 5, 
2020/6/29, , 29, 7, 
2020/6/30, , 12, 6, 
2020/7/1, , 22, 5, 
2020/1/2, , 14, 11, 
2020/1/3, , 24, 7, 
2020/1/4, , 12, 4, 3
2020/1/5, , 9, 6, 2
2020/1/6, , 16, 3, 
2020/1/7, , 14, 9, 
2020/1/8, , 23, 8, 
2020/1/9, , 13, 10, 1
2020/1/10, , 21, 8, 
2020/1/11, , 18, 3, 
2020/1/12, , 8, 2, 
2020/1/13, , 9, 11, 
2020/1/14, , 19, 9, 
2020/1/15, , 23, 8, 1
2020/1/16, , 19, 13, 1
2020/1/17, , 25, 11, 
2020/1/18, , 26, 7, 
2020/1/19, , 22, 6, 2
2020/1/20, , 20, 9, 
2020/1/21, , 16, 5, 
2020/1/22, , 13, 8, 5
2020/1/23, , 14, 11, 3
2020/1/24, , 17, 5, 
2020/1/25, , 8, 7, 
2020/1/26, , 8, 4, 
2020/1/27, , 7, 7, 
2020/1/28, , 22, 8, 
2020/1/29, , 27, 7, 
2020/1/30, , 8, 7, 
2020/1/31, , 10, 9, 2
2020/2/1, , 10, 5, 
2020/2/2, , 12, 2, 
2020/2/3, , 9, 14, 8
2020/2/4, , 21, 10, 4
2020/2/5, , 15, 4, 
2020/2/6, , 14, 9, 7
2020/2/7, , 13, 10, 
2020/2/8, , 10, 7, 1
2020/2/9, , 26, 4, 1
2020/2/10, , 22, 3, 
2020/2/11, , 8, 5, 
2020/2/12, , 8, 3, 
2020/2/13, , 8, 10, 
2020/2/14, , 21, 13, 1
2020/2/15, , 29, 9, 1
2020/2/16, , 24, 3, 
2020/2/17, , 7, 4, 
2020/2/18, , 12, 5, 
2020/2/19, , 8, 6, 
2020/2/20, , 9, 9, 
2020/2/21, , 13, 7, 4
2020/2/22, , 17, 2, 
2020/2/23, , 8, 1, 
2020/2/24, , 7, 8, 12
2020/2/25, , 15, 9, 
2020/2/26, , 13, 5, 
2020/2/27, , 10, 9, 1
2020/2/28, , 13, 8, 1
2020/2/29, , 13, 5, 
2020/3/1, , 9, 3, 
2020/3/2, , 10, 7, 
2020/3/3, , 14, 7, 
2020/3/4, , 16, 9, 
2020/3/5, , 16, 12, 
2020/3/6, , 17, 5, 
2020/3/7, , 14, 5, 
2020/3/8, , 15, 4, 1
2020/3/9, , 10, 10, 1
2020/3/10, , 20, 8, 
2020/3/11, , 11, 3, 
2020/3/12, , 25, 5, 
2020/3/13, , 12, 4, 
2020/3/14, , 10, 4, 2
2020/3/15, , 12, 5, 1
2020/3/16, , 17, 8, 2
2020/3/17, , 22, 10, 
2020/3/18, , 21, 7, 1
2020/3/19, , 24, 8, 8
2020/3/20, , 14, 6, 
2020/3/21, , 16, 1, 
2020/3/22, , 6, , 
2020/3/23, , 7, 3, 
2020/3/24, , 13, 12, 
2020/3/25, , 35, 16, 1
2020/3/26, , 35, , 
2020/3/27, , 35, 17, 
2020/3/28, , 47, 14, 1
2020/3/29, , 51, 3, 
2020/3/30, , 43, , 
2019/10/2, , 13, 18, 3
2019/10/3, , 20, 13, 3
2019/10/4, , 17, 12, 4
2019/10/5, , 12, 5, 
2019/10/6, , 7, 7, 2
2019/10/7, , 9, 15, 6
2019/10/8, , 24, 14, 1
2019/10/9, , 15, 14, 1
2019/10/10, , 21, 13, 
2019/10/11, , 16, 6, 
2019/10/12, , 15, 6, 1
2019/10/13, , 12, 7, 1
2019/10/14, , 19, 11, 
2019/10/15, , 21, 13, 1
2019/10/16, , 27, 13, 
2019/10/17, , 30, 9, 
2019/10/18, , 21, 11, 1
2019/10/19, , 23, 11, 
2019/10/20, , 28, 7, 
2019/10/21, , 29, 13, 1
2019/10/22, , 35, 15, 1
2019/10/23, , 30, 14, 
2019/10/24, , 26, 12, 
2019/10/25, , 28, 12, 
2019/10/26, , 36, 5, 
2019/10/27, , 19, 4, 1
2019/10/28, , 14, 14, 3
2019/10/29, , 19, 15, 6
2019/10/30, , 22, 15, 5
2019/10/31, , 25, 11, 
2019/11/1, , 17, 3, 1
2019/11/2, , 12, 4, 
2019/11/3, , 19, 7, 1
2019/11/4, , 24, 11, 
2019/11/5, , 20, 12, 1
2019/11/6, , 10, 12, 3
2019/11/7, , 12, 13, 1
2019/11/8, , 23, 10, 1
2019/11/9, , 21, 7, 1
2019/11/10, , 17, 7, 
2019/11/11, , 12, 3, 
2019/11/12, , 12, 11, 1
2019/11/13, , 20, 20, 1
2019/11/14, , 9, 11, 3
2019/11/15, , 21, 1, 1
2019/11/16, , 9, 5, 1
2019/11/17, , 23, 4, 1
2019/11/18, , 15, 5, 1
2019/11/19, , 23, 8, 1
2019/11/20, , 22, 5, 2
2019/11/21, , 31, 2, 1
2019/11/22, , 13, 3, 
2019/11/23, , 16, 3, 1
2019/11/24, , 15, 2, 1
2019/11/25, , 19, 4, 
2019/11/26, , 19, 5, 
2019/11/27, , 18, 8, 1
2019/11/28, , 29, 9, 1
2019/11/29, , 23, 5, 2
2019/11/30, , 16, 9, 23
2019/12/1, , 23, 3, 
2019/12/2, , 7, 10, 6
2019/12/3, , 15, 16, 8
2019/12/4, , 25, 7, 
2019/12/5, , 11, 9, 
2019/12/6, , 19, 9, 1
2019/12/7, , 13, 4, 
2019/12/8, , 14, 2, 
2019/12/9, , 10, 8, 
2019/12/10, , 18, 12, 2
2019/12/11, , 19, 10, 1
2019/12/12, , 20, 9, 1
2019/12/13, , 24, 7, 2
2019/12/14, , 17, 6, 1
2019/12/15, , 20, 3, 
2019/12/16, , 9, 11, 1
2019/12/17, , 20, 11, 1
2019/12/18, , 32, 10, 1
2019/12/19, , 17, 13, 1
2019/12/20, , 25, 14, 2
2019/12/21, , 28, 13, 1
2019/12/22, , 24, 7, 
2019/12/23, , 8, 9, 15
2019/12/24, , 7, 8, 8
2019/12/25, , 9, 7, 4
2019/12/26, , 12, 8, 24
2019/12/27, , 7, 3, 10
2019/12/28, , 6, 2, 
2019/12/29, , 6, 5, 6
2019/12/30, , 6, , 
2019/7/2, , 37, 3, 1
2019/7/3, , 22, 4, 4
2019/7/4, , 28, 3, 1
2019/7/5, , 23, 4, 5
2019/7/6, , 15, 4, 
2019/7/7, , 12, 4, 5
2019/7/8, , 16, 7, 4
2019/7/9, , 13, 5, 2
2019/7/10, , 13, 5, 8
2019/7/11, , 17, 8, 1
2019/7/12, , 24, 6, 
2019/7/13, , 22, 4, 
2019/7/14, , 19, 4, 
2019/7/15, , 17, 8, 
2019/7/16, , 21, 5, 1
2019/7/17, , 18, 4, 
2019/7/18, , 10, 5, 
2019/7/19, , 18, 3, 1
2019/7/20, , 16, 2, 
2019/7/21, , 16, , 1
2019/7/22, , 16, 4, 3
2019/7/23, , 21, 8, 2
2019/7/24, , 14, 6, 
2019/7/25, , 13, 5, 
2019/7/26, , 13, 7, 
2019/7/27, , 18, 1, 
2019/7/28, , 16, 1, 
2019/7/29, , 20, 6, 
2019/7/30, , 32, 3, 
2019/7/31, , 23, 2, 
2019/8/1, , 15, 6, 
2019/8/2, , 19, 3, 
2019/8/3, , 16, 1, 
2019/8/4, , 16, 3, 
2019/8/5, , 21, 6, 
2019/8/6, , 17, 7, 
2019/8/7, , 23, 5, 
2019/8/8, , 20, 4, 
2019/8/9, , 16, 3, 
