date, pm25, o3, no2
2023/4/2, 39, 26, 3
2023/4/3, 56, 33, 3
2023/4/4, 63, 31, 2
2023/4/5, 70, 36, 2
2023/4/6, 45, 27, 2
2023/4/7, 16, 20, 2
2023/4/8, 22, 31, 2
2023/4/9, 24, 29, 3
2023/4/10, 35, 27, 5
2023/4/11, 36, 5, 7
2023/4/12, 31, , 
2023/1/3, 78, 30, 6
2023/1/4, 34, 32, 8
2023/1/5, 20, 29, 14
2023/1/6, 18, 33, 11
2023/1/7, 34, 20, 5
2023/1/8, 35, 31, 4
2023/1/9, 17, 35, 13
2023/1/10, 35, 35, 10
2023/1/11, 40, 19, 12
2023/1/12, 55, 29, 2
2023/1/13, 18, 29, 9
2023/1/14, 18, 33, 13
2023/1/15, 34, 32, 5
2023/1/16, 27, 32, 8
2023/1/17, 42, 33, 10
2023/1/18, 56, 29, 4
2023/1/19, 41, 29, 5
2023/1/20, 13, 21, 8
2023/1/21, 19, 23, 7
2023/1/22, 36, 30, 3
2023/1/23, 26, 32, 6
2023/1/24, 20, 27, 2
2023/1/25, 16, 29, 5
2023/1/26, 16, 31, 9
2023/1/27, 24, 28, 12
2023/1/28, 38, 19, 7
2023/1/29, 34, 24, 3
2023/1/30, 30, 11, 1
2023/1/31, 15, 12, 1
2023/2/1, 19, 16, 1
2023/2/2, 19, 15, 2
2023/2/3, 23, 26, 5
2023/2/4, 41, 30, 8
2023/2/5, 40, 32, 9
2023/2/6, 42, 28, 3
2023/2/7, 20, 20, 4
2023/2/8, 29, 25, 4
2023/2/9, 11, 35, 12
2023/2/10, 21, 27, 2
2023/2/11, 16, 31, 7
2023/2/12, 21, 32, 13
2023/2/13, 43, 36, 11
2023/2/14, 36, 36, 7
2023/2/15, 19, 27, 12
2023/2/16, 55, 28, 1
2023/2/17, 23, 30, 2
2023/2/18, 21, 31, 11
2023/2/19, 38, 35, 11
2023/2/20, 45, 24, 8
2023/2/21, 35, 27, 5
2023/2/22, 47, 31, 4
2023/2/23, 46, 33, 4
2023/2/24, 56, 21, 3
2023/2/25, 41, 17, 4
2023/2/26, 56, 20, 2
2023/2/27, 55, 43, 7
2023/2/28, 32, 36, 14
2023/3/1, 55, 32, 3
2023/3/2, 79, 36, 2
2023/3/3, 73, 39, 3
2023/3/4, 26, 48, 7
2023/3/10, 58, 26, 4
2023/3/11, 36, 28, 3
2023/3/12, 57, 30, 2
2023/3/13, 40, 37, 2
2023/3/14, 14, 39, 5
2023/3/15, 31, 34, 4
2023/3/16, 38, 31, 4
2023/3/17, 32, 33, 1
2023/3/18, 13, 31, 3
2023/3/19, 19, 37, 3
2023/3/20, 21, 33, 6
2023/3/21, 23, 24, 5
2023/3/22, 16, 28, 3
2023/3/23, 39, 23, 2
2023/3/24, 45, 36, 4
2023/3/25, 32, 41, 5
2023/3/26, 20, 39, 7
2023/3/27, 55, 36, 4
2023/3/28, 57, 41, 2
2023/3/29, 31, 32, 6
2023/3/30, 38, 26, 4
2023/3/31, 40, 30, 5
2023/4/1, 45, 47, 4
2022/10/2, 37, 56, 7
2022/10/3, 32, 62, 9
2022/10/4, 38, 51, 13
2022/10/5, 43, 59, 11
2022/10/6, 39, 67, 7
2022/10/7, 40, 51, 8
2022/10/8, 37, 51, 5
2022/10/9, 41, 52, 4
2022/10/10, 48, 47, 5
2022/10/11, 42, 38, 4
2022/10/12, 30, 29, 4
2022/10/13, 29, 51, 4
2022/10/14, 30, 43, 6
2022/10/15, 32, 32, 2
2022/10/16, 22, 35, 2
2022/10/17, 21, 27, 3
2022/10/18, 22, 31, 4
2022/10/19, 13, 35, 10
2022/10/20, 23, 33, 11
2022/10/21, 27, 36, 8
2022/10/22, 22, 31, 3
2022/10/23, 26, 29, 1
2022/10/24, 19, 35, 2
2022/10/25, 43, 30, 4
2022/10/26, 13, 42, 11
2022/10/27, 21, 39, 6
2022/10/28, 19, 32, 3
2022/10/29, 20, 34, 2
2022/10/30, 21, 36, 5
2022/10/31, 28, 45, 8
2022/11/1, 24, 35, 5
2022/11/2, 22, 32, 6
2022/11/3, 38, 19, 3
2022/11/4, 43, 36, 2
2022/11/5, 26, 37, 5
2022/11/6, 16, 28, 5
2022/11/7, 34, 18, 4
2022/11/8, 24, 27, 3
2022/11/9, 20, 28, 3
2022/11/10, 23, 28, 4
2022/11/11, 27, 18, 2
2022/11/12, 25, 26, 2
2022/11/13, 13, 30, 4
2022/11/14, 16, 28, 6
2022/11/15, 27, 23, 3
2022/11/16, 23, 25, 4
2022/11/17, 21, 26, 8
2022/11/18, 19, 26, 8
2022/11/19, 25, 19, 3
2022/11/20, 28, 22, 2
2022/11/21, 18, 17, 5
2022/11/22, 28, 19, 5
2022/11/23, 42, 15, 11
2022/11/24, 50, 21, 6
2022/11/25, 33, 19, 1
2022/11/26, 15, 25, 3
2022/11/27, 17, 26, 8
2022/11/28, 21, 33, 8
2022/11/29, 23, 26, 8
2022/11/30, 41, 25, 3
2022/12/1, 15, 14, 8
2022/12/2, 25, 11, 8
2022/12/3, 28, 18, 2
2022/12/4, 18, 13, 5
2022/12/5, 28, 14, 6
2022/12/6, 33, 19, 6
2022/12/7, 33, 21, 4
2022/12/8, 43, 18, 4
2022/12/9, 49, 20, 5
2022/12/10, 55, 22, 4
2022/12/11, 24, 26, 3
2022/12/12, 17, 16, 4
2022/12/13, 38, 28, 3
2022/12/14, 36, 31, 2
2022/12/15, 12, 25, 13
2022/12/16, 20, 26, 11
2022/12/17, 22, 27, 7
2022/12/18, 30, 27, 7
2022/12/19, 33, 21, 3
2022/12/20, 21, 17, 2
2022/12/21, 15, 10, 11
2022/12/22, 57, 21, 4
2022/12/23, 42, 24, 1
2022/12/24, 17, 26, 8
2022/12/25, 38, 30, 10
2022/12/26, 57, 29, 13
2022/12/27, 46, 25, 13
2022/12/28, 27, 34, 11
2022/12/29, 27, 24, 7
2022/12/30, 37, 26, 7
2022/12/31, 16, 36, 10
2023/1/1, 37, 32, 8
2023/1/2, 121, 23, 5
2022/7/2, 24, 59, 2
2022/7/3, 37, 34, 1
2022/7/4, 29, 25, 
2022/7/5, 32, 25, 
2022/7/6, 51, 26, 1
2022/7/7, 41, 30, 1
2022/7/8, 28, 32, 1
2022/7/9, 31, 36, 2
2022/7/10, 38, 43, 1
2022/7/11, 37, 43, 2
2022/7/12, 31, 47, 3
2022/7/13, 38, 45, 2
2022/7/14, 51, 38, 2
2022/7/15, 31, 41, 5
2022/7/16, 25, 31, 2
2022/7/17, 63, 24, 1
2022/7/18, 91, 29, 1
2022/7/19, 68, 32, 1
2022/7/20, 39, 31, 1
2022/7/21, 47, 25, 
2022/7/22, 63, 26, 
2022/7/23, 53, 24, 
2022/7/24, 35, 28, 
2022/7/25, 25, 28, 
2022/7/26, 24, 26, 1
2022/7/27, 24, 23, 2
2022/7/28, 24, 26, 1
2022/7/29, 27, 30, 1
2022/7/30, 23, 29, 1
2022/7/31, 49, 26, 
2022/8/1, 44, 31, 1
2022/8/2, 20, 24, 1
2022/8/3, 26, 24, 1
2022/8/4, 40, 24, 1
2022/8/5, 52, 25, 1
2022/8/6, 64, 25, 1
2022/8/7, 47, 26, 
2022/8/8, 39, 31, 1
2022/8/9, 27, 36, 2
2022/8/10, 26, 39, 2
2022/8/11, 33, 32, 4
2022/8/12, 26, 60, 5
2022/8/13, 31, 41, 4
2022/8/14, 33, 28, 1
2022/8/15, 29, 20, 3
2022/8/16, 25, 28, 2
2022/8/17, 31, 32, 2
2022/8/18, 39, 32, 2
2022/8/19, 21, 26, 2
2022/8/20, 43, 23, 1
2022/8/21, 34, 25, 1
2022/8/22, 29, 24, 2
2022/8/23, 37, 34, 5
2022/8/24, 22, 27, 6
2022/8/25, 24, 36, 4
2022/8/26, 25, 49, 6
2022/8/27, 34, 34, 3
2022/8/28, 22, 26, 1
2022/8/29, 14, 33, 2
2022/8/30, 19, 21, 2
2022/8/31, 31, 24, 3
2022/9/1, 27, 39, 4
2022/9/2, 23, 43, 3
2022/9/3, 29, 29, 2
2022/9/4, 20, 25, 2
2022/9/5, 31, 24, 1
2022/9/6, 27, 34, 2
2022/9/7, 24, 43, 4
2022/9/8, 26, 60, 5
2022/9/9, 34, 44, 5
2022/9/10, 34, 49, 2
2022/9/11, 40, 41, 1
2022/9/12, 33, 58, 4
2022/9/13, 36, 53, 4
2022/9/14, 47, 54, 4
2022/9/15, 46, 45, 4
2022/9/16, 38, 25, 2
2022/9/17, 22, 25, 2
2022/9/18, 18, 33, 2
2022/9/19, 20, 25, 2
2022/9/20, 18, 31, 2
2022/9/21, 17, 48, 4
2022/9/22, 31, 47, 5
2022/9/23, 37, 52, 5
2022/9/24, 49, 35, 3
2022/9/25, 36, 31, 2
2022/9/26, 20, 42, 3
2022/9/27, 24, 54, 11
2022/9/28, 21, 46, 16
2022/9/29, 28, 55, 9
2022/9/30, 35, 71, 8
2022/10/1, 42, 68, 7
2022/4/5, 63, 28, 2
2022/4/6, 60, 42, 3
2022/4/7, 26, 38, 3
2022/4/8, 25, 36, 3
2022/4/9, 39, 36, 6
2022/4/10, 33, 44, 6
2022/4/11, 37, 38, 1
2022/4/12, 57, 33, 2
2022/4/13, 69, 27, 2
2022/4/14, 57, 34, 2
2022/4/15, 31, 45, 3
2022/4/16, 36, 29, 4
2022/4/22, 55, 25, 2
2022/4/23, 48, 30, 1
2022/4/24, 36, 27, 
2022/4/25, 41, 26, 
2022/4/26, 29, 23, 1
2022/4/27, 16, 33, 2
2022/4/28, 34, 39, 5
2022/4/29, 33, 25, 1
2022/4/30, 28, 23, 1
2022/5/1, 39, 31, 2
2022/5/2, 43, 26, 1
2022/5/3, 33, 18, 1
2022/5/4, 52, 26, 2
2022/5/5, 48, 24, 2
2022/5/6, 57, 27, 2
2022/5/7, 56, 39, 5
2022/5/8, 64, 40, 2
2022/5/9, 78, 33, 1
2022/5/10, 78, 34, 1
2022/5/11, 54, 26, 1
2022/5/12, 38, 31, 1
2022/5/13, 35, 37, 1
2022/5/14, 31, 36, 2
2022/5/15, 27, 42, 1
2022/5/16, 30, 39, 1
2022/5/17, 40, 42, 2
2022/5/18, 34, 38, 2
2022/5/19, 34, 39, 1
2022/5/20, 56, 41, 1
2022/5/21, 94, 41, 1
2022/5/22, 78, 40, 1
2022/5/23, 32, 44, 1
2022/5/24, 44, 37, 4
2022/5/25, 29, 43, 3
2022/5/26, 16, 40, 2
2022/5/27, 26, 52, 7
2022/5/28, 39, 54, 3
2022/5/29, 50, 38, 2
2022/5/30, 47, 29, 
2022/5/31, 40, 23, 
2022/6/1, 30, 22, 1
2022/6/2, 25, 23, 2
2022/6/3, 27, 40, 3
2022/6/4, 26, 41, 4
2022/6/5, 25, 42, 3
2022/6/6, 25, 34, 1
2022/6/7, 24, 33, 1
2022/6/8, 45, 36, 1
2022/6/9, 57, 42, 1
2022/6/10, 39, 33, 1
2022/6/11, 36, 29, 2
2022/6/12, 34, 28, 2
2022/6/13, 72, 26, 
2022/6/14, 97, 22, 
2022/6/15, 76, 23, 
2022/6/16, 62, 21, 
2022/6/17, 109, 26, 1
2022/6/18, 89, 33, 1
2022/6/19, 51, 28, 1
2022/6/20, 27, 28, 1
2022/6/21, 37, 35, 1
2022/6/22, 44, 44, 2
2022/6/23, 38, 26, 1
2022/6/24, 55, 37, 2
2022/6/25, 43, 31, 2
2022/6/26, 29, 39, 1
2022/6/27, 28, 38, 
2022/6/28, 26, 41, 2
2022/6/29, 34, 39, 4
2022/6/30, 44, 72, 4
2022/7/1, 43, 59, 4
2022/1/4, 30, 28, 11
2022/1/5, 25, 34, 13
2022/1/6, 35, 27, 9
2022/1/7, 21, 18, 9
2022/1/8, 40, 12, 8
2022/1/9, 42, 21, 2
2022/1/10, 28, 27, 3
2022/1/11, 17, 18, 9
2022/1/12, 22, 22, 14
2022/1/13, 31, 32, 16
2022/1/14, 31, 35, 16
2022/1/15, 35, 31, 2
2022/1/16, 19, 30, 5
2022/1/17, 21, 34, 12
2022/1/18, 30, 31, 8
2022/1/19, 28, 29, 6
2022/1/20, 39, 23, 1
2022/1/21, 16, 25, 4
2022/1/22, 23, 27, 7
2022/1/23, 33, 28, 6
2022/1/24, 29, 23, 8
2022/1/25, 35, 19, 6
2022/1/26, 38, 25, 6
2022/1/27, 41, 24, 10
2022/1/28, 40, 29, 5
2022/1/29, 29, 33, 12
2022/1/30, 34, 36, 6
2022/1/31, 28, 22, 5
2022/2/1, 29, 32, 6
2022/2/2, 26, 18, 6
2022/2/3, 33, 24, 1
2022/2/4, 17, 30, 2
2022/2/5, 15, 30, 11
2022/2/6, 36, 34, 10
2022/2/7, 43, 32, 7
2022/2/8, 26, 32, 13
2022/2/9, 25, 39, 12
2022/2/10, 33, 44, 13
2022/2/11, 28, 40, 12
2022/2/12, 38, 29, 4
2022/2/13, 22, 30, 6
2022/2/14, 29, 36, 10
2022/2/15, 28, 35, 6
2022/2/16, 28, 30, 2
2022/2/17, 27, 34, 1
2022/2/18, 25, 31, 3
2022/2/19, 14, 33, 8
2022/2/20, 27, 35, 8
2022/2/21, 33, 26, 3
2022/2/22, 30, 30, 3
2022/2/23, 53, 18, 2
2022/2/24, 28, 14, 2
2022/2/25, 15, 19, 3
2022/2/26, 29, 16, 3
2022/2/27, 35, 30, 4
2022/2/28, 29, 35, 15
2022/3/1, 31, 45, 15
2022/3/4, 52, 28, 2
2022/3/5, 31, 24, 1
2022/3/6, 32, 23, 1
2022/3/7, 45, 28, 2
2022/3/8, 23, 29, 2
2022/3/9, 22, 33, 5
2022/3/10, 31, 37, 7
2022/3/11, 37, 32, 2
2022/3/12, 29, 39, 5
2022/3/13, 22, 41, 8
2022/3/14, 44, 35, 6
2022/3/15, 24, 27, 5
2022/3/16, 21, 42, 16
2022/3/17, 28, 32, 11
2022/3/18, 35, 30, 10
2022/3/19, 27, 42, 12
2022/3/20, 23, 38, 18
2022/3/21, 27, 25, 15
2022/3/22, 30, 29, 11
2022/3/23, 17, 36, 6
2022/3/24, 18, 39, 6
2022/3/25, 19, 47, 12
2022/3/26, 25, 47, 6
2022/3/27, 38, 42, 3
2022/3/28, 26, 37, 2
2022/3/29, 26, 34, 1
2022/3/30, 47, 37, 2
2022/3/31, 27, 44, 6
2022/4/1, 13, 44, 4
2021/10/2, 19, 32, 6
2021/10/3, 28, 31, 5
2021/10/4, 27, 39, 9
2021/10/5, 32, 43, 11
2021/10/6, 28, 57, 11
2021/10/7, 31, 46, 9
2021/10/8, 40, 57, 9
2021/10/9, 47, 36, 7
2021/10/10, 31, 20, 6
2021/10/11, 26, 34, 5
2021/10/12, 26, 14, 7
2021/10/13, 56, 19, 3
2021/10/14, 44, 32, 3
2021/10/15, 23, 30, 3
2021/10/16, 36, 32, 2
2021/10/17, 13, 38, 4
2021/10/18, 22, 42, 7
2021/10/19, 31, 28, 4
2021/10/20, 17, 32, 
2021/10/21, 28, 36, 6
2021/10/22, 36, 45, 7
2021/10/23, 48, 25, 3
2021/10/24, 34, 21, 3
2021/10/25, 21, 28, 4
2021/10/26, 23, 20, 2
2021/10/27, 24, 31, 3
2021/10/28, 26, 29, 4
2021/10/29, 24, 27, 5
2021/10/30, 20, 37, 9
2021/10/31, 45, 41, 6
2021/11/1, 39, 41, 6
2021/11/2, 23, 28, 5
2021/11/3, 25, 25, 3
2021/11/4, 21, 19, 2
2021/11/5, 16, 22, 8
2021/11/6, 30, 34, 9
2021/11/7, 44, 43, 7
2021/11/8, 49, 32, 7
2021/11/9, 27, 28, 7
2021/11/10, 33, 27, 5
2021/11/11, 24, 31, 5
2021/11/12, 19, 30, 6
2021/11/13, 28, 29, 6
2021/11/14, 20, 35, 6
2021/11/15, 30, 30, 6
2021/11/16, 23, 28, 3
2021/11/17, 24, 30, 4
2021/11/18, 24, 24, 2
2021/11/19, 13, 24, 9
2021/11/20, 26, 24, 9
2021/11/21, 46, 30, 3
2021/11/22, 34, 27, 6
2021/11/23, 24, 34, 11
2021/11/24, 27, 25, 6
2021/11/25, 36, 24, 2
2021/11/26, 21, 24, 4
2021/11/27, 22, 23, 4
2021/11/28, 23, 25, 4
2021/11/29, 25, 29, 12
2021/11/30, 28, 32, 9
2021/12/1, 27, 29, 8
2021/12/2, 32, 25, 8
2021/12/3, 35, 26, 6
2021/12/4, 24, 24, 3
2021/12/5, 44, 18, 3
2021/12/6, 23, 25, 2
2021/12/7, 21, 22, 9
2021/12/8, 25, 32, 12
2021/12/9, 40, 20, 7
2021/12/10, 59, 23, 7
2021/12/11, 70, 27, 4
2021/12/12, 30, 27, 8
2021/12/13, 32, 18, 14
2021/12/14, 38, 12, 7
2021/12/15, 39, 15, 2
2021/12/16, 26, 16, 3
2021/12/17, 28, 18, 1
2021/12/18, 26, 20, 2
2021/12/19, 23, 24, 2
2021/12/20, 19, 16, 9
2021/12/21, 31, 27, 10
2021/12/22, 40, 30, 11
2021/12/23, 38, 24, 5
2021/12/24, 37, 22, 4
2021/12/25, 31, 25, 4
2021/12/26, 44, 21, 4
2021/12/27, 63, 21, 4
2021/12/28, 53, 19, 5
2021/12/29, 60, 24, 6
2021/12/30, 75, 33, 8
2021/12/31, 53, 24, 3
2022/1/1, 64, 22, 3
2022/1/2, 72, 29, 2
2022/1/3, 24, 28, 12
2021/7/2, 25, 36, 2
2021/7/3, 27, 29, 2
2021/7/4, 27, 27, 2
2021/7/5, 31, 25, 2
2021/7/6, 40, 19, 2
2021/7/7, 38, 20, 2
2021/7/8, 18, 22, 2
2021/7/9, 21, 18, 2
2021/7/10, 16, 16, 2
2021/7/11, 35, 19, 2
2021/7/12, 65, 21, 2
2021/7/13, 71, 19, 3
2021/7/14, 58, 22, 4
2021/7/15, 47, , 
2021/7/16, 42, , 
2021/7/17, 61, , 
2021/7/18, 52, , 
2021/7/19, 31, , 
2021/7/20, 31, , 
2021/7/21, 35, 33, 
2021/7/22, 39, 26, 6
2021/7/23, 28, 18, 5
2021/7/24, 56, 19, 4
2021/7/25, 75, 24, 5
2021/7/26, 62, 27, 5
2021/7/27, 36, 31, 5
2021/7/28, 46, 40, 6
2021/7/29, 49, 51, 6
2021/7/30, 45, 37, 7
2021/7/31, 31, 30, 5
2021/8/1, 32, 25, 4
2021/8/2, 50, 24, 5
2021/8/3, 25, 36, 5
2021/8/4, 46, 48, 6
2021/8/5, 55, 37, 6
2021/8/6, 33, 21, 5
2021/8/7, 31, 18, 5
2021/8/8, 42, 17, 5
2021/8/9, 34, 19, 5
2021/8/10, 30, 17, 5
2021/8/11, 40, 21, 5
2021/8/12, 31, 23, 5
2021/8/13, 30, 25, 5
2021/8/14, 22, 35, 5
2021/8/15, 18, 31, 4
2021/8/16, 23, 38, 5
2021/8/17, 27, 25, 5
2021/8/18, 21, 19, 5
2021/8/19, 36, 19, 5
2021/8/20, 48, 22, 5
2021/8/21, 44, 19, 5
2021/8/22, 52, 20, 5
2021/8/23, 53, 23, 5
2021/8/24, 49, 24, 5
2021/8/25, 31, 30, 6
2021/8/26, 24, 43, 6
2021/8/27, 44, 32, 8
2021/8/28, 39, 30, 6
2021/8/29, 22, 29, 6
2021/8/30, 32, 27, 7
2021/8/31, 45, 35, 7
2021/9/1, 51, 23, 6
2021/9/2, 80, 21, 6
2021/9/3, 53, 24, 6
2021/9/4, 56, 20, 4
2021/9/5, 84, 21, 4
2021/9/6, 71, 25, 5
2021/9/7, 58, 41, 7
2021/9/8, 49, 44, 7
2021/9/9, 54, 49, 9
2021/9/10, 45, 67, 9
2021/9/11, 46, 49, 7
2021/9/12, 36, 33, 5
2021/9/13, 30, 20, 6
2021/9/14, 28, 20, 4
2021/9/15, 34, 24, 5
2021/9/16, 16, 28, 7
2021/9/17, 24, 43, 7
2021/9/18, 30, 36, 6
2021/9/19, 34, 35, 5
2021/9/20, 33, 34, 7
2021/9/21, 34, 36, 6
2021/9/22, 54, 34, 8
2021/9/23, 18, 60, 11
2021/9/24, 24, 50, 10
2021/9/25, 31, 47, 8
2021/9/26, 27, 53, 7
2021/9/27, 35, 38, 8
2021/9/28, 30, 30, 6
2021/9/29, 27, 31, 8
2021/9/30, 17, 28, 7
2021/10/1, 31, 26, 7
2021/4/2, 24, 53, 5
2021/4/3, 42, 39, 2
2021/4/4, 26, 37, 2
2021/4/5, 30, 34, 2
2021/4/6, 29, 30, 1
2021/4/7, 37, 37, 2
2021/4/8, 39, 40, 4
2021/4/9, 56, 35, 3
2021/4/10, 65, 45, 1
2021/4/11, 34, 61, 4
2021/4/12, 35, 37, 2
2021/4/13, 63, 37, 3
2021/4/14, 60, 40, 4
2021/4/15, 71, 22, 4
2021/4/16, 37, 18, 5
2021/4/17, 31, 28, 1
2021/4/18, 17, 29, 1
2021/4/19, 15, 46, 5
2021/4/20, 21, 42, 5
2021/4/21, 25, 38, 2
2021/4/22, 21, 30, 6
2021/4/23, 40, 26, 3
2021/4/24, 44, 42, 3
2021/4/25, 23, 55, 3
2021/4/26, 27, 38, 2
2021/4/27, 49, 16, 3
2021/4/28, 55, 28, 2
2021/4/29, 61, 17, 1
2021/4/30, 42, 22, 1
2021/5/1, 26, 22, 2
2021/5/2, 18, 51, 3
2021/5/3, 17, 45, 3
2021/5/4, 64, 34, 2
2021/5/5, 30, 44, 3
2021/5/6, 19, 56, 5
2021/5/7, 25, 55, 5
2021/5/8, 34, 34, 1
2021/5/9, 34, 30, 1
2021/5/10, 46, 31, 2
2021/5/11, 59, 20, 3
2021/5/12, 43, 26, 1
2021/5/13, 15, 31, 2
2021/5/14, 26, 44, 5
2021/5/15, 38, 30, 2
2021/5/16, 29, 41, 2
2021/5/17, 22, 27, 2
2021/5/18, 41, 24, 2
2021/5/19, 39, 36, 4
2021/5/20, 21, 52, 5
2021/5/21, 28, 39, 3
2021/5/22, 30, 25, 2
2021/5/23, 29, 22, 1
2021/5/24, 20, 24, 2
2021/5/25, 23, 23, 2
2021/5/26, 34, 24, 2
2021/5/27, 41, 25, 1
2021/5/28, 40, 27, 2
2021/5/29, 42, 37, 2
2021/5/30, 18, 23, 2
2021/5/31, 34, 35, 1
2021/6/1, 33, 36, 3
2021/6/2, 21, 37, 5
2021/6/3, 24, 26, 5
2021/6/4, 19, 36, 3
2021/6/5, 26, 33, 4
2021/6/6, 31, 27, 2
2021/6/7, 30, 27, 2
2021/6/8, 68, 22, 2
2021/6/9, 60, 22, 2
2021/6/10, 49, 23, 1
2021/6/11, 36, 22, 1
2021/6/12, 35, 27, 2
2021/6/13, 29, 39, 1
2021/6/14, 25, 46, 3
2021/6/15, 36, 50, 4
2021/6/16, 49, 54, 3
2021/6/17, 38, 50, 4
2021/6/18, 50, 60, 4
2021/6/19, 55, 45, 3
2021/6/20, 38, 24, 1
2021/6/21, 29, 27, 1
2021/6/22, 71, 36, 2
2021/6/23, 43, 26, 2
2021/6/24, 57, 23, 1
2021/6/25, 44, 25, 1
2021/6/26, 53, 22, 
2021/6/27, 44, 23, 2
2021/6/28, 25, 25, 3
2021/6/29, 20, 21, 4
2021/6/30, 20, 22, 2
2021/7/1, 25, 35, 4
2021/1/5, 34, 24, 7
2021/1/6, 32, 28, 2
2021/1/7, 21, 29, 4
2021/1/8, 16, 26, 5
2021/1/9, 21, 26, 5
2021/1/10, 30, 25, 2
2021/1/11, 24, 23, 3
2021/1/12, 21, 21, 12
2021/1/13, 33, 28, 11
2021/1/14, 41, 29, 8
2021/1/15, 39, 30, 3
2021/1/16, 13, 29, 11
2021/1/17, 31, 36, 9
2021/1/18, 53, 28, 11
2021/1/19, 38, 26, 3
2021/1/20, 29, 18, 4
2021/1/21, 33, 12, 6
2021/1/22, 49, 22, 4
2021/1/23, 34, 9, 5
2021/1/24, 38, 12, 3
2021/1/25, 37, 30, 5
2021/1/26, 41, 33, 11
2021/1/27, 26, 31, 4
2021/1/28, 19, 24, 6
2021/1/29, 35, 33, 9
2021/1/30, 37, 27, 5
2021/1/31, 38, 29, 2
2021/2/1, 44, 30, 5
2021/2/2, 12, 35, 14
2021/2/3, 30, 35, 8
2021/2/4, 31, 32, 4
2021/2/5, 32, 25, 5
2021/2/6, 25, 33, 4
2021/2/7, 36, 37, 3
2021/2/8, 24, 30, 8
2021/2/9, 39, 29, 5
2021/2/10, 54, 8, 4
2021/2/11, 47, 16, 1
2021/2/12, 16, 18, 1
2021/2/13, 36, 18, 1
2021/2/14, 33, 24, 1
2021/2/15, 25, 29, 1
2021/2/16, 24, 28, 5
2021/2/17, 35, 25, 4
2021/2/18, 34, 30, 2
2021/2/19, 50, 32, 8
2021/2/20, 46, 37, 9
2021/2/21, 50, 35, 5
2021/2/22, 30, 38, 7
2021/2/23, 21, 34, 7
2021/2/24, 29, 29, 4
2021/2/25, 36, 24, 5
2021/2/26, 39, 13, 4
2021/2/27, 38, 16, 4
2021/2/28, 54, 14, 1
2021/3/1, 57, 30, 1
2021/3/2, 17, 34, 3
2021/3/3, 14, 42, 11
2021/3/4, 24, 42, 6
2021/3/5, 27, 39, 2
2021/3/6, 21, 38, 2
2021/3/7, 30, 43, 4
2021/3/8, 43, 39, 4
2021/3/9, 33, 35, 3
2021/3/10, 38, 34, 2
2021/3/11, 29, 30, 2
2021/3/12, 43, 28, 2
2021/3/13, 36, 25, 1
2021/3/14, 28, 38, 2
2021/3/15, 37, 42, 8
2021/3/16, 50, 28, 2
2021/3/17, 56, 43, 1
2021/3/18, 51, 34, 2
2021/3/19, 15, 35, 4
2021/3/20, 15, 42, 5
2021/3/21, 37, 46, 3
2021/3/22, 36, 33, 4
2021/3/23, 31, 40, 4
2021/3/24, 54, 25, 5
2021/3/25, 61, 37, 3
2021/3/26, 30, 56, 8
2021/3/27, 28, 33, 3
2021/3/28, 69, 40, 2
2021/3/29, 21, 43, 6
2021/3/30, 27, 27, 4
2021/3/31, 41, 39, 2
2021/4/1, 37, 44, 2
2020/10/2, 27, 50, 5
2020/10/3, 37, 40, 5
2020/10/4, 32, 46, 3
2020/10/5, 26, 47, 4
2020/10/6, 43, 52, 6
2020/10/7, 47, 61, 6
2020/10/8, 51, 44, 6
2020/10/9, 41, 20, 2
2020/10/10, 35, 44, 7
2020/10/11, 37, 37, 4
2020/10/12, 39, 33, 2
2020/10/13, 48, 58, 6
2020/10/14, 37, 29, 5
2020/10/15, 47, 36, 1
2020/10/16, 39, 35, 1
2020/10/17, 19, 26, 5
2020/10/18, 43, 33, 1
2020/10/19, 34, 22, 2
